Events for energy 5660.722891 GeV:
Cross section pb: 17.510826281804757
Total number of events: 999968

pid = -11, p = (4.350029336396642, 4.302816520440386, 1007.4832563458076, 1007.5018356323968), Parent_PIDs = (-12, 2), theta = 0.006073055605866691, phi = 0.7799418836702467
pid = 211, p = (-0.39223314351824173, -0.3741776272351568, 28.715625019621893, 28.721080338107626), Parent_PIDs = (113, 90), theta = 0.018875446381987782, phi = 3.9034366371853118
pid = -211, p = (0.07842506630819578, -0.05562149450529437, 1.5939401026735478, 1.6029251627844034), Parent_PIDs = (113, 90), theta = 0.06024732154246946, phi = 5.666290816771608
pid = 211, p = (-0.6355203319470739, -1.3451895876025493, 135.06130561008803, 135.0695716066554), Parent_PIDs = (223, 90), theta = 0.011014975012116094, phi = 4.271032075662341
pid = -211, p = (-0.35424924513837885, -0.6473412350108886, 106.51229692652275, 106.51494458314697), Parent_PIDs = (223, 90), theta = 0.006928025407582661, phi = 4.21166934754845
pid = 13, p = (0.051089510165881966, 0.13892743663330046, 5.840080020650997, 5.842911059900319), Parent_PIDs = (223, 90), theta = 0.025340725015390628, phi = 1.2184036082791085
pid = -13, p = (-0.8525420166784335, -0.2494292117253195, 69.0827906736539, 69.08858208211649), Parent_PIDs = (223, 90), theta = 0.01285749845609041, phi = 3.4262201463996047
pid = 22, p = (-0.22449709244601077, -0.3110675915633799, 26.60961019098053, 26.6123752511303), Parent_PIDs = (111, 90), theta = 0.014415484068814263, phi = 4.0872480510507545
pid = 22, p = (-0.07077479665736922, -0.08558642786640719, 14.605458143096508, 14.605880380114744), Parent_PIDs = (111, 90), theta = 0.0076037937329926485, phi = 4.021436007282964

pid = -11, p = (4.350029336396642, 4.302816520440386, 1007.4832563458076, 1007.5018356323968), Parent_PIDs = (-12, 2), theta = 0.006073055605866691, phi = 0.7799418836702467
pid = -211, p = (-0.724233080769592, -3.159474142611447, 253.2434663267784, 253.26424837982995), Parent_PIDs = (1, 2101), theta = 0.012798912500551644, phi = 4.48705599121039
pid = 211, p = (-0.1436775949829332, 0.14179822217184124, 7.6549880264208605, 7.658921037369292), Parent_PIDs = (1, 2101), theta = 0.026364441886971474, phi = 2.362777694612113
pid = -211, p = (0.30626540083047027, -0.36891476595772565, 8.655204506286555, 8.669598689145332), Parent_PIDs = (1, 2101), theta = 0.0553407787842001, phi = 5.4052629680653315
pid = 211, p = (-1.1629294086410407, 1.3034901823780343, 16.826482439766604, 16.91749043285416), Parent_PIDs = (1, 2101), theta = 0.10344505919980579, phi = 2.299266262234367
pid = 2112, p = (-0.22515260292208553, 0.7097697224545999, 7.584052619338884, 7.678223275687995), Parent_PIDs = (1, 2101), theta = 0.0978693476480099, phi = 1.8779747673371792
pid = 211, p = (-0.39223314351824173, -0.3741776272351568, 28.715625019621893, 28.721080338107626), Parent_PIDs = (113, 90), theta = 0.018875446381987782, phi = 3.9034366371853118
pid = -211, p = (0.07842506630819578, -0.05562149450529437, 1.5939401026735478, 1.6029251627844034), Parent_PIDs = (113, 90), theta = 0.06024732154246946, phi = 5.666290816771608
pid = 211, p = (-0.6355203319470739, -1.3451895876025493, 135.06130561008803, 135.0695716066554), Parent_PIDs = (223, 90), theta = 0.011014975012116094, phi = 4.271032075662341
pid = -211, p = (-0.35424924513837885, -0.6473412350108886, 106.51229692652275, 106.51494458314697), Parent_PIDs = (223, 90), theta = 0.006928025407582661, phi = 4.21166934754845
pid = 13, p = (0.051089510165881966, 0.13892743663330046, 5.840080020650997, 5.842911059900319), Parent_PIDs = (223, 90), theta = 0.025340725015390628, phi = 1.2184036082791085
pid = -13, p = (-0.8525420166784335, -0.2494292117253195, 69.0827906736539, 69.08858208211649), Parent_PIDs = (223, 90), theta = 0.01285749845609041, phi = 3.4262201463996047
pid = 22, p = (-0.22449709244601077, -0.3110675915633799, 26.60961019098053, 26.6123752511303), Parent_PIDs = (111, 90), theta = 0.014415484068814263, phi = 4.0872480510507545
pid = 22, p = (-0.07077479665736922, -0.08558642786640719, 14.605458143096508, 14.605880380114744), Parent_PIDs = (111, 90), theta = 0.0076037937329926485, phi = 4.021436007282964

pid = -11, p = (4.350029336396642, 4.302816520440386, 1007.4832563458076, 1007.5018356323968), Parent_PIDs = (-12, 2), theta = 0.006073055605866691, phi = 0.7799418836702467
pid = -211, p = (-0.724233080769592, -3.159474142611447, 253.2434663267784, 253.26424837982995), Parent_PIDs = (1, 2101), theta = 0.012798912500551644, phi = 4.48705599121039
pid = 211, p = (-0.1436775949829332, 0.14179822217184124, 7.6549880264208605, 7.658921037369292), Parent_PIDs = (1, 2101), theta = 0.026364441886971474, phi = 2.362777694612113
pid = -211, p = (0.30626540083047027, -0.36891476595772565, 8.655204506286555, 8.669598689145332), Parent_PIDs = (1, 2101), theta = 0.0553407787842001, phi = 5.4052629680653315
pid = 211, p = (-1.1629294086410407, 1.3034901823780343, 16.826482439766604, 16.91749043285416), Parent_PIDs = (1, 2101), theta = 0.10344505919980579, phi = 2.299266262234367
pid = 2112, p = (-0.22515260292208553, 0.7097697224545999, 7.584052619338884, 7.678223275687995), Parent_PIDs = (1, 2101), theta = 0.0978693476480099, phi = 1.8779747673371792
pid = 211, p = (-0.39223314351824173, -0.3741776272351568, 28.715625019621893, 28.721080338107626), Parent_PIDs = (113, 90), theta = 0.018875446381987782, phi = 3.9034366371853118
pid = -211, p = (0.07842506630819578, -0.05562149450529437, 1.5939401026735478, 1.6029251627844034), Parent_PIDs = (113, 90), theta = 0.06024732154246946, phi = 5.666290816771608
pid = 211, p = (-0.6355203319470739, -1.3451895876025493, 135.06130561008803, 135.0695716066554), Parent_PIDs = (223, 90), theta = 0.011014975012116094, phi = 4.271032075662341
pid = -211, p = (-0.35424924513837885, -0.6473412350108886, 106.51229692652275, 106.51494458314697), Parent_PIDs = (223, 90), theta = 0.006928025407582661, phi = 4.21166934754845
pid = 13, p = (0.051089510165881966, 0.13892743663330046, 5.840080020650997, 5.842911059900319), Parent_PIDs = (223, 90), theta = 0.025340725015390628, phi = 1.2184036082791085
pid = -13, p = (-0.8525420166784335, -0.2494292117253195, 69.0827906736539, 69.08858208211649), Parent_PIDs = (223, 90), theta = 0.01285749845609041, phi = 3.4262201463996047
pid = 22, p = (-0.22449709244601077, -0.3110675915633799, 26.60961019098053, 26.6123752511303), Parent_PIDs = (111, 90), theta = 0.014415484068814263, phi = 4.0872480510507545
pid = 22, p = (-0.07077479665736922, -0.08558642786640719, 14.605458143096508, 14.605880380114744), Parent_PIDs = (111, 90), theta = 0.0076037937329926485, phi = 4.021436007282964

pid = -11, p = (4.350029336396642, 4.302816520440386, 1007.4832563458076, 1007.5018356323968), Parent_PIDs = (-12, 2), theta = 0.006073055605866691, phi = 0.7799418836702467
pid = -211, p = (-0.724233080769592, -3.159474142611447, 253.2434663267784, 253.26424837982995), Parent_PIDs = (1, 2101), theta = 0.012798912500551644, phi = 4.48705599121039
pid = 211, p = (-0.1436775949829332, 0.14179822217184124, 7.6549880264208605, 7.658921037369292), Parent_PIDs = (1, 2101), theta = 0.026364441886971474, phi = 2.362777694612113
pid = -211, p = (0.30626540083047027, -0.36891476595772565, 8.655204506286555, 8.669598689145332), Parent_PIDs = (1, 2101), theta = 0.0553407787842001, phi = 5.4052629680653315
pid = 211, p = (-1.1629294086410407, 1.3034901823780343, 16.826482439766604, 16.91749043285416), Parent_PIDs = (1, 2101), theta = 0.10344505919980579, phi = 2.299266262234367
pid = 2112, p = (-0.22515260292208553, 0.7097697224545999, 7.584052619338884, 7.678223275687995), Parent_PIDs = (1, 2101), theta = 0.0978693476480099, phi = 1.8779747673371792
pid = 211, p = (-0.39223314351824173, -0.3741776272351568, 28.715625019621893, 28.721080338107626), Parent_PIDs = (113, 90), theta = 0.018875446381987782, phi = 3.9034366371853118
pid = -211, p = (0.07842506630819578, -0.05562149450529437, 1.5939401026735478, 1.6029251627844034), Parent_PIDs = (113, 90), theta = 0.06024732154246946, phi = 5.666290816771608
pid = 211, p = (-0.6355203319470739, -1.3451895876025493, 135.06130561008803, 135.0695716066554), Parent_PIDs = (223, 90), theta = 0.011014975012116094, phi = 4.271032075662341
pid = -211, p = (-0.35424924513837885, -0.6473412350108886, 106.51229692652275, 106.51494458314697), Parent_PIDs = (223, 90), theta = 0.006928025407582661, phi = 4.21166934754845
pid = 13, p = (0.051089510165881966, 0.13892743663330046, 5.840080020650997, 5.842911059900319), Parent_PIDs = (223, 90), theta = 0.025340725015390628, phi = 1.2184036082791085
pid = -13, p = (-0.8525420166784335, -0.2494292117253195, 69.0827906736539, 69.08858208211649), Parent_PIDs = (223, 90), theta = 0.01285749845609041, phi = 3.4262201463996047
pid = 22, p = (-0.22449709244601077, -0.3110675915633799, 26.60961019098053, 26.6123752511303), Parent_PIDs = (111, 90), theta = 0.014415484068814263, phi = 4.0872480510507545
pid = 22, p = (-0.07077479665736922, -0.08558642786640719, 14.605458143096508, 14.605880380114744), Parent_PIDs = (111, 90), theta = 0.0076037937329926485, phi = 4.021436007282964

pid = -11, p = (4.350029336396642, 4.302816520440386, 1007.4832563458076, 1007.5018356323968), Parent_PIDs = (-12, 2), theta = 0.006073055605866691, phi = 0.7799418836702467
pid = -211, p = (-0.724233080769592, -3.159474142611447, 253.2434663267784, 253.26424837982995), Parent_PIDs = (1, 2101), theta = 0.012798912500551644, phi = 4.48705599121039
pid = 211, p = (-0.1436775949829332, 0.14179822217184124, 7.6549880264208605, 7.658921037369292), Parent_PIDs = (1, 2101), theta = 0.026364441886971474, phi = 2.362777694612113
pid = -211, p = (0.30626540083047027, -0.36891476595772565, 8.655204506286555, 8.669598689145332), Parent_PIDs = (1, 2101), theta = 0.0553407787842001, phi = 5.4052629680653315
pid = 211, p = (-1.1629294086410407, 1.3034901823780343, 16.826482439766604, 16.91749043285416), Parent_PIDs = (1, 2101), theta = 0.10344505919980579, phi = 2.299266262234367
pid = 2112, p = (-0.22515260292208553, 0.7097697224545999, 7.584052619338884, 7.678223275687995), Parent_PIDs = (1, 2101), theta = 0.0978693476480099, phi = 1.8779747673371792
pid = 211, p = (-0.39223314351824173, -0.3741776272351568, 28.715625019621893, 28.721080338107626), Parent_PIDs = (113, 90), theta = 0.018875446381987782, phi = 3.9034366371853118
pid = -211, p = (0.07842506630819578, -0.05562149450529437, 1.5939401026735478, 1.6029251627844034), Parent_PIDs = (113, 90), theta = 0.06024732154246946, phi = 5.666290816771608
pid = 211, p = (-0.6355203319470739, -1.3451895876025493, 135.06130561008803, 135.0695716066554), Parent_PIDs = (223, 90), theta = 0.011014975012116094, phi = 4.271032075662341
pid = -211, p = (-0.35424924513837885, -0.6473412350108886, 106.51229692652275, 106.51494458314697), Parent_PIDs = (223, 90), theta = 0.006928025407582661, phi = 4.21166934754845
pid = 13, p = (0.051089510165881966, 0.13892743663330046, 5.840080020650997, 5.842911059900319), Parent_PIDs = (223, 90), theta = 0.025340725015390628, phi = 1.2184036082791085
pid = -13, p = (-0.8525420166784335, -0.2494292117253195, 69.0827906736539, 69.08858208211649), Parent_PIDs = (223, 90), theta = 0.01285749845609041, phi = 3.4262201463996047
pid = 22, p = (-0.22449709244601077, -0.3110675915633799, 26.60961019098053, 26.6123752511303), Parent_PIDs = (111, 90), theta = 0.014415484068814263, phi = 4.0872480510507545
pid = 22, p = (-0.07077479665736922, -0.08558642786640719, 14.605458143096508, 14.605880380114744), Parent_PIDs = (111, 90), theta = 0.0076037937329926485, phi = 4.021436007282964

pid = -11, p = (4.350029336396642, 4.302816520440386, 1007.4832563458076, 1007.5018356323968), Parent_PIDs = (-12, 2), theta = 0.006073055605866691, phi = 0.7799418836702467
pid = -211, p = (-0.724233080769592, -3.159474142611447, 253.2434663267784, 253.26424837982995), Parent_PIDs = (1, 2101), theta = 0.012798912500551644, phi = 4.48705599121039
pid = 211, p = (-0.1436775949829332, 0.14179822217184124, 7.6549880264208605, 7.658921037369292), Parent_PIDs = (1, 2101), theta = 0.026364441886971474, phi = 2.362777694612113
pid = -211, p = (0.30626540083047027, -0.36891476595772565, 8.655204506286555, 8.669598689145332), Parent_PIDs = (1, 2101), theta = 0.0553407787842001, phi = 5.4052629680653315
pid = 211, p = (-1.1629294086410407, 1.3034901823780343, 16.826482439766604, 16.91749043285416), Parent_PIDs = (1, 2101), theta = 0.10344505919980579, phi = 2.299266262234367
pid = 2112, p = (-0.22515260292208553, 0.7097697224545999, 7.584052619338884, 7.678223275687995), Parent_PIDs = (1, 2101), theta = 0.0978693476480099, phi = 1.8779747673371792
pid = 211, p = (-0.39223314351824173, -0.3741776272351568, 28.715625019621893, 28.721080338107626), Parent_PIDs = (113, 90), theta = 0.018875446381987782, phi = 3.9034366371853118
pid = -211, p = (0.07842506630819578, -0.05562149450529437, 1.5939401026735478, 1.6029251627844034), Parent_PIDs = (113, 90), theta = 0.06024732154246946, phi = 5.666290816771608
pid = 211, p = (-0.6355203319470739, -1.3451895876025493, 135.06130561008803, 135.0695716066554), Parent_PIDs = (223, 90), theta = 0.011014975012116094, phi = 4.271032075662341
pid = -211, p = (-0.35424924513837885, -0.6473412350108886, 106.51229692652275, 106.51494458314697), Parent_PIDs = (223, 90), theta = 0.006928025407582661, phi = 4.21166934754845
pid = 13, p = (0.051089510165881966, 0.13892743663330046, 5.840080020650997, 5.842911059900319), Parent_PIDs = (223, 90), theta = 0.025340725015390628, phi = 1.2184036082791085
pid = -13, p = (-0.8525420166784335, -0.2494292117253195, 69.0827906736539, 69.08858208211649), Parent_PIDs = (223, 90), theta = 0.01285749845609041, phi = 3.4262201463996047
pid = 22, p = (-0.22449709244601077, -0.3110675915633799, 26.60961019098053, 26.6123752511303), Parent_PIDs = (111, 90), theta = 0.014415484068814263, phi = 4.0872480510507545
pid = 22, p = (-0.07077479665736922, -0.08558642786640719, 14.605458143096508, 14.605880380114744), Parent_PIDs = (111, 90), theta = 0.0076037937329926485, phi = 4.021436007282964

pid = -11, p = (4.350029336396642, 4.302816520440386, 1007.4832563458076, 1007.5018356323968), Parent_PIDs = (-12, 2), theta = 0.006073055605866691, phi = 0.7799418836702467
pid = -211, p = (-0.724233080769592, -3.159474142611447, 253.2434663267784, 253.26424837982995), Parent_PIDs = (1, 2101), theta = 0.012798912500551644, phi = 4.48705599121039
pid = 211, p = (-0.1436775949829332, 0.14179822217184124, 7.6549880264208605, 7.658921037369292), Parent_PIDs = (1, 2101), theta = 0.026364441886971474, phi = 2.362777694612113
pid = -211, p = (0.30626540083047027, -0.36891476595772565, 8.655204506286555, 8.669598689145332), Parent_PIDs = (1, 2101), theta = 0.0553407787842001, phi = 5.4052629680653315
pid = 211, p = (-1.1629294086410407, 1.3034901823780343, 16.826482439766604, 16.91749043285416), Parent_PIDs = (1, 2101), theta = 0.10344505919980579, phi = 2.299266262234367
pid = 2112, p = (-0.22515260292208553, 0.7097697224545999, 7.584052619338884, 7.678223275687995), Parent_PIDs = (1, 2101), theta = 0.0978693476480099, phi = 1.8779747673371792
pid = 211, p = (-0.39223314351824173, -0.3741776272351568, 28.715625019621893, 28.721080338107626), Parent_PIDs = (113, 90), theta = 0.018875446381987782, phi = 3.9034366371853118
pid = -211, p = (0.07842506630819578, -0.05562149450529437, 1.5939401026735478, 1.6029251627844034), Parent_PIDs = (113, 90), theta = 0.06024732154246946, phi = 5.666290816771608
pid = 211, p = (-0.6355203319470739, -1.3451895876025493, 135.06130561008803, 135.0695716066554), Parent_PIDs = (223, 90), theta = 0.011014975012116094, phi = 4.271032075662341
pid = -211, p = (-0.35424924513837885, -0.6473412350108886, 106.51229692652275, 106.51494458314697), Parent_PIDs = (223, 90), theta = 0.006928025407582661, phi = 4.21166934754845
pid = 13, p = (0.051089510165881966, 0.13892743663330046, 5.840080020650997, 5.842911059900319), Parent_PIDs = (223, 90), theta = 0.025340725015390628, phi = 1.2184036082791085
pid = -13, p = (-0.8525420166784335, -0.2494292117253195, 69.0827906736539, 69.08858208211649), Parent_PIDs = (223, 90), theta = 0.01285749845609041, phi = 3.4262201463996047
pid = 22, p = (-0.22449709244601077, -0.3110675915633799, 26.60961019098053, 26.6123752511303), Parent_PIDs = (111, 90), theta = 0.014415484068814263, phi = 4.0872480510507545
pid = 22, p = (-0.07077479665736922, -0.08558642786640719, 14.605458143096508, 14.605880380114744), Parent_PIDs = (111, 90), theta = 0.0076037937329926485, phi = 4.021436007282964

pid = -11, p = (8.393393163708552, 14.535640037540519, 3498.9822731311924, 3499.0225323033696), Parent_PIDs = (-11, 90), theta = 0.00479705242508425, phi = 1.047133703152953
pid = 22, p = (0.0014602557230233267, 0.001754865798774114, 0.48809754220618545, 0.48810288117206113), Parent_PIDs = (22, 22), theta = 0.004677225196849414, phi = 0.8767756228825618
pid = 22, p = (0.0008721060529353303, 0.0008103371976109059, 0.2274724615265889, 0.22747557664133283), Parent_PIDs = (22, 22), theta = 0.0052334144632756735, phi = 0.7487008632397485
