Events for energy 225.357437 GeV:
Cross section pb: 0.672475572960868
Total number of events: 999264

pid = -11, p = (-1.490234385060302, -0.9234634070723929, 97.67601276320349, 97.69174505947383), Parent_PIDs = (-11, 90), theta = 0.01794683757429948, phi = 3.6963547587002865
pid = -321, p = (0.1741912011915348, 0.42303618865263026, 20.54735187516918, 20.558372776460224), Parent_PIDs = (2, -2), theta = 0.02226174879722356, phi = 1.1801896279228328
pid = 211, p = (-0.09740257910196858, -0.1726447408841107, 0.6779660191560204, 0.7200077617643569), Parent_PIDs = (323, 90), theta = 0.2844542423432731, phi = 4.198724809209635
pid = 130, p = (-0.017140521848867454, 0.19165198061270244, 5.122775734251515, 5.150482619589953), Parent_PIDs = (311, 311), theta = 0.037543421376834196, phi = 1.6599946697083157
pid = 22, p = (0.3576586201883654, 0.29441457789870584, 4.253242893417647, 4.2783962816319425), Parent_PIDs = (221, 90), theta = 0.1084890095500278, phi = 0.6887114046634719
pid = 22, p = (0.14030435440405709, -0.1357319636201876, 5.815317011583641, 5.818592649690046), Parent_PIDs = (221, 90), theta = 0.03355632210628803, phi = 5.514350082647768
pid = 211, p = (-0.11820755112256154, -0.027509394628582144, 3.0522371114017326, 3.057835993158106), Parent_PIDs = (223, 90), theta = 0.03974214524495187, phi = 3.370243913059705
pid = -211, p = (0.32057748135963227, -0.07323126561254792, 3.5589364628752813, 3.576819994282814), Parent_PIDs = (223, 90), theta = 0.09213550642100483, phi = 6.0586033566559685
pid = 22, p = (0.152928941223253, 0.181427379645856, 6.215158832976298, 6.219686686182206), Parent_PIDs = (221, 90), theta = 0.03815955165127776, phi = 0.8704263928281596
pid = 13, p = (0.880517679448767, 0.296801459529542, 47.95350599542009, 47.962624029327195), Parent_PIDs = (221, 90), theta = 0.01937456398934544, phi = 0.32511524774366324
pid = -13, p = (0.24827656950100674, 0.1205879620625418, 16.348758714696302, 16.35142985364019), Parent_PIDs = (221, 90), theta = 0.01688115556417404, phi = 0.4521424085569754
pid = 22, p = (-0.0009068399489648897, -0.025467833394405077, 0.1183939314358655, 0.12110555683922455), Parent_PIDs = (111, 90), theta = 0.21201251556540274, phi = 4.676796750286736
pid = 22, p = (-0.06321451906500236, -0.2216748305755236, 5.236165894856119, 5.241237361958117), Parent_PIDs = (111, 90), theta = 0.04399465487875451, phi = 4.4345946553381355

pid = -11, p = (-1.490234385060302, -0.9234634070723929, 97.67601276320349, 97.69174505947383), Parent_PIDs = (-11, 90), theta = 0.01794683757429948, phi = 3.6963547587002865
pid = 22, p = (-0.021553594078435875, -0.01070899430731548, 1.5514628673082174, 1.5516495315028478), Parent_PIDs = (22, 22), theta = 0.015511473129864776, phi = 3.6027204781949944
pid = 2112, p = (-0.4657948570905163, 0.08251288169307752, 0.3821338381954362, 1.1191922443133844), Parent_PIDs = (2212, 90), theta = 0.891308809960057, phi = 2.96626721146427
pid = -321, p = (0.1741912011915348, 0.42303618865263026, 20.54735187516918, 20.558372776460224), Parent_PIDs = (2, -2), theta = 0.02226174879722356, phi = 1.1801896279228328
pid = 211, p = (-0.09740257910196858, -0.1726447408841107, 0.6779660191560204, 0.7200077617643569), Parent_PIDs = (323, 90), theta = 0.2844542423432731, phi = 4.198724809209635
pid = 130, p = (-0.017140521848867454, 0.19165198061270244, 5.122775734251515, 5.150482619589953), Parent_PIDs = (311, 311), theta = 0.037543421376834196, phi = 1.6599946697083157
pid = 22, p = (0.3576586201883654, 0.29441457789870584, 4.253242893417647, 4.2783962816319425), Parent_PIDs = (221, 90), theta = 0.1084890095500278, phi = 0.6887114046634719
pid = 22, p = (0.14030435440405709, -0.1357319636201876, 5.815317011583641, 5.818592649690046), Parent_PIDs = (221, 90), theta = 0.03355632210628803, phi = 5.514350082647768
pid = 211, p = (-0.11820755112256154, -0.027509394628582144, 3.0522371114017326, 3.057835993158106), Parent_PIDs = (223, 90), theta = 0.03974214524495187, phi = 3.370243913059705
pid = -211, p = (0.32057748135963227, -0.07323126561254792, 3.5589364628752813, 3.576819994282814), Parent_PIDs = (223, 90), theta = 0.09213550642100483, phi = 6.0586033566559685
pid = 22, p = (0.152928941223253, 0.181427379645856, 6.215158832976298, 6.219686686182206), Parent_PIDs = (221, 90), theta = 0.03815955165127776, phi = 0.8704263928281596
pid = 13, p = (0.880517679448767, 0.296801459529542, 47.95350599542009, 47.962624029327195), Parent_PIDs = (221, 90), theta = 0.01937456398934544, phi = 0.32511524774366324
pid = -13, p = (0.24827656950100674, 0.1205879620625418, 16.348758714696302, 16.35142985364019), Parent_PIDs = (221, 90), theta = 0.01688115556417404, phi = 0.4521424085569754
pid = 22, p = (-0.0009068399489648897, -0.025467833394405077, 0.1183939314358655, 0.12110555683922455), Parent_PIDs = (111, 90), theta = 0.21201251556540274, phi = 4.676796750286736
pid = 22, p = (-0.06321451906500236, -0.2216748305755236, 5.236165894856119, 5.241237361958117), Parent_PIDs = (111, 90), theta = 0.04399465487875451, phi = 4.4345946553381355

pid = -11, p = (-1.490234385060302, -0.9234634070723929, 97.67601276320349, 97.69174505947383), Parent_PIDs = (-11, 90), theta = 0.01794683757429948, phi = 3.6963547587002865
pid = 22, p = (-0.021553594078435875, -0.01070899430731548, 1.5514628673082174, 1.5516495315028478), Parent_PIDs = (22, 22), theta = 0.015511473129864776, phi = 3.6027204781949944
pid = 2112, p = (-0.4657948570905163, 0.08251288169307752, 0.3821338381954362, 1.1191922443133844), Parent_PIDs = (2212, 90), theta = 0.891308809960057, phi = 2.96626721146427
pid = -321, p = (0.1741912011915348, 0.42303618865263026, 20.54735187516918, 20.558372776460224), Parent_PIDs = (2, -2), theta = 0.02226174879722356, phi = 1.1801896279228328
pid = 211, p = (-0.09740257910196858, -0.1726447408841107, 0.6779660191560204, 0.7200077617643569), Parent_PIDs = (323, 90), theta = 0.2844542423432731, phi = 4.198724809209635
pid = 130, p = (-0.017140521848867454, 0.19165198061270244, 5.122775734251515, 5.150482619589953), Parent_PIDs = (311, 311), theta = 0.037543421376834196, phi = 1.6599946697083157
pid = 22, p = (0.3576586201883654, 0.29441457789870584, 4.253242893417647, 4.2783962816319425), Parent_PIDs = (221, 90), theta = 0.1084890095500278, phi = 0.6887114046634719
pid = 22, p = (0.14030435440405709, -0.1357319636201876, 5.815317011583641, 5.818592649690046), Parent_PIDs = (221, 90), theta = 0.03355632210628803, phi = 5.514350082647768
pid = 211, p = (-0.11820755112256154, -0.027509394628582144, 3.0522371114017326, 3.057835993158106), Parent_PIDs = (223, 90), theta = 0.03974214524495187, phi = 3.370243913059705
pid = -211, p = (0.32057748135963227, -0.07323126561254792, 3.5589364628752813, 3.576819994282814), Parent_PIDs = (223, 90), theta = 0.09213550642100483, phi = 6.0586033566559685
pid = 22, p = (0.152928941223253, 0.181427379645856, 6.215158832976298, 6.219686686182206), Parent_PIDs = (221, 90), theta = 0.03815955165127776, phi = 0.8704263928281596
pid = 13, p = (0.880517679448767, 0.296801459529542, 47.95350599542009, 47.962624029327195), Parent_PIDs = (221, 90), theta = 0.01937456398934544, phi = 0.32511524774366324
pid = -13, p = (0.24827656950100674, 0.1205879620625418, 16.348758714696302, 16.35142985364019), Parent_PIDs = (221, 90), theta = 0.01688115556417404, phi = 0.4521424085569754
pid = 22, p = (-0.0009068399489648897, -0.025467833394405077, 0.1183939314358655, 0.12110555683922455), Parent_PIDs = (111, 90), theta = 0.21201251556540274, phi = 4.676796750286736
pid = 22, p = (-0.06321451906500236, -0.2216748305755236, 5.236165894856119, 5.241237361958117), Parent_PIDs = (111, 90), theta = 0.04399465487875451, phi = 4.4345946553381355

pid = -11, p = (-1.490234385060302, -0.9234634070723929, 97.67601276320349, 97.69174505947383), Parent_PIDs = (-11, 90), theta = 0.01794683757429948, phi = 3.6963547587002865
pid = 22, p = (-0.021553594078435875, -0.01070899430731548, 1.5514628673082174, 1.5516495315028478), Parent_PIDs = (22, 22), theta = 0.015511473129864776, phi = 3.6027204781949944
pid = 2112, p = (-0.4657948570905163, 0.08251288169307752, 0.3821338381954362, 1.1191922443133844), Parent_PIDs = (2212, 90), theta = 0.891308809960057, phi = 2.96626721146427
pid = -321, p = (0.1741912011915348, 0.42303618865263026, 20.54735187516918, 20.558372776460224), Parent_PIDs = (2, -2), theta = 0.02226174879722356, phi = 1.1801896279228328
pid = 211, p = (-0.09740257910196858, -0.1726447408841107, 0.6779660191560204, 0.7200077617643569), Parent_PIDs = (323, 90), theta = 0.2844542423432731, phi = 4.198724809209635
pid = 130, p = (-0.017140521848867454, 0.19165198061270244, 5.122775734251515, 5.150482619589953), Parent_PIDs = (311, 311), theta = 0.037543421376834196, phi = 1.6599946697083157
pid = 22, p = (0.3576586201883654, 0.29441457789870584, 4.253242893417647, 4.2783962816319425), Parent_PIDs = (221, 90), theta = 0.1084890095500278, phi = 0.6887114046634719
pid = 22, p = (0.14030435440405709, -0.1357319636201876, 5.815317011583641, 5.818592649690046), Parent_PIDs = (221, 90), theta = 0.03355632210628803, phi = 5.514350082647768
pid = 211, p = (-0.11820755112256154, -0.027509394628582144, 3.0522371114017326, 3.057835993158106), Parent_PIDs = (223, 90), theta = 0.03974214524495187, phi = 3.370243913059705
pid = -211, p = (0.32057748135963227, -0.07323126561254792, 3.5589364628752813, 3.576819994282814), Parent_PIDs = (223, 90), theta = 0.09213550642100483, phi = 6.0586033566559685
pid = 22, p = (0.152928941223253, 0.181427379645856, 6.215158832976298, 6.219686686182206), Parent_PIDs = (221, 90), theta = 0.03815955165127776, phi = 0.8704263928281596
pid = 13, p = (0.880517679448767, 0.296801459529542, 47.95350599542009, 47.962624029327195), Parent_PIDs = (221, 90), theta = 0.01937456398934544, phi = 0.32511524774366324
pid = -13, p = (0.24827656950100674, 0.1205879620625418, 16.348758714696302, 16.35142985364019), Parent_PIDs = (221, 90), theta = 0.01688115556417404, phi = 0.4521424085569754
pid = 22, p = (-0.0009068399489648897, -0.025467833394405077, 0.1183939314358655, 0.12110555683922455), Parent_PIDs = (111, 90), theta = 0.21201251556540274, phi = 4.676796750286736
pid = 22, p = (-0.06321451906500236, -0.2216748305755236, 5.236165894856119, 5.241237361958117), Parent_PIDs = (111, 90), theta = 0.04399465487875451, phi = 4.4345946553381355

pid = -11, p = (-1.6915969879177952, -0.1494563254469779, 139.61111858851467, 139.62144631595882), Parent_PIDs = (-12, 2), theta = 0.012163091477780687, phi = 3.229716034572196
pid = 2112, p = (0.8369676618552349, 0.4377010759534385, 4.529124760856184, 4.721002010504), Parent_PIDs = (1, 2101), theta = 0.2055945600171095, phi = 0.4818468816706051
pid = 211, p = (0.5471994595125107, 0.0035314292457847007, 0.3760921422645047, 0.678501881984425), Parent_PIDs = (113, 90), theta = 0.968652098085592, phi = 0.006453552097338656
pid = -211, p = (0.25038730844504964, -0.38164619184220905, 1.1870671706713096, 1.2794357633596167), Parent_PIDs = (113, 90), theta = 0.36709077220325664, phi = 5.2930207742878554
pid = 22, p = (0.0681317786406294, 0.2359436748095827, 1.2187177652743242, 1.243215326618293), Parent_PIDs = (221, 90), theta = 0.19884697344940594, phi = 1.2896804174031868
pid = 13, p = (0.027198449058082996, 0.005300077097050403, 1.167661656908678, 1.1727598334966634), Parent_PIDs = (221, 90), theta = 0.023726772336991938, phi = 0.19245503738267364
pid = -13, p = (0.31099241207273365, -0.01004449779696464, 3.1358253408178434, 3.1529956828416608), Parent_PIDs = (221, 90), theta = 0.0989019964889567, phi = 6.25089832244596
pid = 22, p = (-0.05298555561376403, 0.0016512190670779046, 0.4008662267736879, 0.4043561887691107), Parent_PIDs = (111, 90), theta = 0.1314789290515382, phi = 3.1104391661510546
pid = 22, p = (-0.296294526052682, -0.14298046108678306, 5.996156039672422, 6.005174527898538), Parent_PIDs = (111, 90), theta = 0.05481171850670882, phi = 3.5911927470729417

pid = -11, p = (-1.6915969879177952, -0.1494563254469779, 139.61111858851467, 139.62144631595882), Parent_PIDs = (-12, 2), theta = 0.012163091477780687, phi = 3.229716034572196
pid = 2112, p = (0.8369676618552349, 0.4377010759534385, 4.529124760856184, 4.721002010504), Parent_PIDs = (1, 2101), theta = 0.2055945600171095, phi = 0.4818468816706051
pid = 211, p = (0.5471994595125107, 0.0035314292457847007, 0.3760921422645047, 0.678501881984425), Parent_PIDs = (113, 90), theta = 0.968652098085592, phi = 0.006453552097338656
pid = -211, p = (0.25038730844504964, -0.38164619184220905, 1.1870671706713096, 1.2794357633596167), Parent_PIDs = (113, 90), theta = 0.36709077220325664, phi = 5.2930207742878554
pid = 22, p = (0.0681317786406294, 0.2359436748095827, 1.2187177652743242, 1.243215326618293), Parent_PIDs = (221, 90), theta = 0.19884697344940594, phi = 1.2896804174031868
pid = 13, p = (0.027198449058082996, 0.005300077097050403, 1.167661656908678, 1.1727598334966634), Parent_PIDs = (221, 90), theta = 0.023726772336991938, phi = 0.19245503738267364
pid = -13, p = (0.31099241207273365, -0.01004449779696464, 3.1358253408178434, 3.1529956828416608), Parent_PIDs = (221, 90), theta = 0.0989019964889567, phi = 6.25089832244596
pid = 22, p = (-0.05298555561376403, 0.0016512190670779046, 0.4008662267736879, 0.4043561887691107), Parent_PIDs = (111, 90), theta = 0.1314789290515382, phi = 3.1104391661510546
pid = 22, p = (-0.296294526052682, -0.14298046108678306, 5.996156039672422, 6.005174527898538), Parent_PIDs = (111, 90), theta = 0.05481171850670882, phi = 3.5911927470729417

pid = -11, p = (-1.6915969879177952, -0.1494563254469779, 139.61111858851467, 139.62144631595882), Parent_PIDs = (-12, 2), theta = 0.012163091477780687, phi = 3.229716034572196
pid = 2112, p = (0.8369676618552349, 0.4377010759534385, 4.529124760856184, 4.721002010504), Parent_PIDs = (1, 2101), theta = 0.2055945600171095, phi = 0.4818468816706051
pid = 211, p = (0.5471994595125107, 0.0035314292457847007, 0.3760921422645047, 0.678501881984425), Parent_PIDs = (113, 90), theta = 0.968652098085592, phi = 0.006453552097338656
pid = -211, p = (0.25038730844504964, -0.38164619184220905, 1.1870671706713096, 1.2794357633596167), Parent_PIDs = (113, 90), theta = 0.36709077220325664, phi = 5.2930207742878554
pid = 22, p = (0.0681317786406294, 0.2359436748095827, 1.2187177652743242, 1.243215326618293), Parent_PIDs = (221, 90), theta = 0.19884697344940594, phi = 1.2896804174031868
pid = 13, p = (0.027198449058082996, 0.005300077097050403, 1.167661656908678, 1.1727598334966634), Parent_PIDs = (221, 90), theta = 0.023726772336991938, phi = 0.19245503738267364
pid = -13, p = (0.31099241207273365, -0.01004449779696464, 3.1358253408178434, 3.1529956828416608), Parent_PIDs = (221, 90), theta = 0.0989019964889567, phi = 6.25089832244596
pid = 22, p = (-0.05298555561376403, 0.0016512190670779046, 0.4008662267736879, 0.4043561887691107), Parent_PIDs = (111, 90), theta = 0.1314789290515382, phi = 3.1104391661510546
pid = 22, p = (-0.296294526052682, -0.14298046108678306, 5.996156039672422, 6.005174527898538), Parent_PIDs = (111, 90), theta = 0.05481171850670882, phi = 3.5911927470729417

pid = -11, p = (-1.6915969879177952, -0.1494563254469779, 139.61111858851467, 139.62144631595882), Parent_PIDs = (-12, 2), theta = 0.012163091477780687, phi = 3.229716034572196
pid = 2112, p = (0.8369676618552349, 0.4377010759534385, 4.529124760856184, 4.721002010504), Parent_PIDs = (1, 2101), theta = 0.2055945600171095, phi = 0.4818468816706051
pid = 211, p = (0.5471994595125107, 0.0035314292457847007, 0.3760921422645047, 0.678501881984425), Parent_PIDs = (113, 90), theta = 0.968652098085592, phi = 0.006453552097338656
pid = -211, p = (0.25038730844504964, -0.38164619184220905, 1.1870671706713096, 1.2794357633596167), Parent_PIDs = (113, 90), theta = 0.36709077220325664, phi = 5.2930207742878554
pid = 22, p = (0.0681317786406294, 0.2359436748095827, 1.2187177652743242, 1.243215326618293), Parent_PIDs = (221, 90), theta = 0.19884697344940594, phi = 1.2896804174031868
pid = 13, p = (0.027198449058082996, 0.005300077097050403, 1.167661656908678, 1.1727598334966634), Parent_PIDs = (221, 90), theta = 0.023726772336991938, phi = 0.19245503738267364
pid = -13, p = (0.31099241207273365, -0.01004449779696464, 3.1358253408178434, 3.1529956828416608), Parent_PIDs = (221, 90), theta = 0.0989019964889567, phi = 6.25089832244596
pid = 22, p = (-0.05298555561376403, 0.0016512190670779046, 0.4008662267736879, 0.4043561887691107), Parent_PIDs = (111, 90), theta = 0.1314789290515382, phi = 3.1104391661510546
pid = 22, p = (-0.296294526052682, -0.14298046108678306, 5.996156039672422, 6.005174527898538), Parent_PIDs = (111, 90), theta = 0.05481171850670882, phi = 3.5911927470729417

pid = -11, p = (-1.6915969879177952, -0.1494563254469779, 139.61111858851467, 139.62144631595882), Parent_PIDs = (-12, 2), theta = 0.012163091477780687, phi = 3.229716034572196
