Events for energy 2837.082046 GeV:
Cross section pb: 8.920350551558172
Total number of events: 999976

pid = 22, p = (-0.020510141835240497, 0.4407208588084085, 43.06950711128319, 43.07176683571479), Parent_PIDs = (221, 90), theta = 0.010243498154945024, phi = 1.6173004891510783
pid = 22, p = (-0.3869523938687345, 0.0874803616657864, 63.28248528127256, 63.283728780337185), Parent_PIDs = (221, 90), theta = 0.006268915416453885, phi = 2.9192550026794226
pid = 211, p = (-0.46631357707007826, 0.15249955444943258, 36.358619171779814, 36.36219702286541), Parent_PIDs = (223, 90), theta = 0.01349299427163902, phi = 2.825523799577968
pid = -211, p = (-0.07181220854411136, 0.13481674198024102, 40.633859617319885, 40.63438642002823), Parent_PIDs = (223, 90), theta = 0.003759161248375567, phi = 2.060233461199715
pid = 22, p = (-0.2910247834920038, 0.28619214517689584, 65.85355352271914, 65.85481844890474), Parent_PIDs = (221, 90), theta = 0.006198041875886325, phi = 2.364566603282506
pid = 13, p = (-2.603374461438159, 1.1582644039912953, 526.5518650793796, 526.5595853439808), Parent_PIDs = (221, 90), theta = 0.0054113981287871645, phi = 2.7229805670439795
pid = -13, p = (-0.9481340146489354, 0.41773111708381894, 181.05699366480303, 181.05998888867737), Parent_PIDs = (221, 90), theta = 0.005722322905479865, phi = 2.7265979857571345
pid = 22, p = (-0.009927683801331222, -0.015961922732207257, 0.9946094102357752, 0.9947870228408343), Parent_PIDs = (111, 90), theta = 0.018897018847206442, phi = 4.155978433503019
pid = 22, p = (-0.6481929012774315, 0.07621209670884585, 61.172129826381585, 61.175611397162456), Parent_PIDs = (111, 90), theta = 0.010668798500010103, phi = 3.0245537424643696

pid = -11, p = (6.737578751261822, -1.7620443829772867, 917.90709067995, 917.9335089692652), Parent_PIDs = (-11, 90), theta = 0.0075868722658622885, phi = 6.027389467315979
pid = 22, p = (0.4301867801841683, -0.024872895832395825, 50.82715392417698, 50.828980467433844), Parent_PIDs = (22, 22), theta = 0.00847765189725333, phi = 6.2254307791431485
pid = 2112, p = (-0.2563515050835523, -1.1361230427787476, 1.2712750310192327, 1.9635232751063756), Parent_PIDs = (2212, 90), theta = 0.7416692638744852, phi = 4.490468222843965
pid = -321, p = (-0.9343398697733025, 0.2781680052408696, 224.00931291837372, 224.0119781675428), Parent_PIDs = (2, -2), theta = 0.004351882743005539, phi = 2.852232511658405
pid = 211, p = (-0.1449708427604804, -0.1869949851806448, 8.153587248385328, 8.158213558841496), Parent_PIDs = (323, 90), theta = 0.029010826162490292, phi = 4.052912786516873
pid = 130, p = (-0.3858611478608025, 0.09391194439685671, 59.99555342425047, 59.998931279422976), Parent_PIDs = (311, 311), theta = 0.00661914415420394, phi = 2.902851628746604
pid = 22, p = (-0.020510141835240497, 0.4407208588084085, 43.06950711128319, 43.07176683571479), Parent_PIDs = (221, 90), theta = 0.010243498154945024, phi = 1.6173004891510783
pid = 22, p = (-0.3869523938687345, 0.0874803616657864, 63.28248528127256, 63.283728780337185), Parent_PIDs = (221, 90), theta = 0.006268915416453885, phi = 2.9192550026794226
pid = 211, p = (-0.46631357707007826, 0.15249955444943258, 36.358619171779814, 36.36219702286541), Parent_PIDs = (223, 90), theta = 0.01349299427163902, phi = 2.825523799577968
pid = -211, p = (-0.07181220854411136, 0.13481674198024102, 40.633859617319885, 40.63438642002823), Parent_PIDs = (223, 90), theta = 0.003759161248375567, phi = 2.060233461199715
pid = 22, p = (-0.2910247834920038, 0.28619214517689584, 65.85355352271914, 65.85481844890474), Parent_PIDs = (221, 90), theta = 0.006198041875886325, phi = 2.364566603282506
pid = 13, p = (-2.603374461438159, 1.1582644039912953, 526.5518650793796, 526.5595853439808), Parent_PIDs = (221, 90), theta = 0.0054113981287871645, phi = 2.7229805670439795
pid = -13, p = (-0.9481340146489354, 0.41773111708381894, 181.05699366480303, 181.05998888867737), Parent_PIDs = (221, 90), theta = 0.005722322905479865, phi = 2.7265979857571345
pid = 22, p = (-0.009927683801331222, -0.015961922732207257, 0.9946094102357752, 0.9947870228408343), Parent_PIDs = (111, 90), theta = 0.018897018847206442, phi = 4.155978433503019
pid = 22, p = (-0.6481929012774315, 0.07621209670884585, 61.172129826381585, 61.175611397162456), Parent_PIDs = (111, 90), theta = 0.010668798500010103, phi = 3.0245537424643696

pid = -11, p = (6.737578751261822, -1.7620443829772867, 917.90709067995, 917.9335089692652), Parent_PIDs = (-11, 90), theta = 0.0075868722658622885, phi = 6.027389467315979
pid = 22, p = (0.4301867801841683, -0.024872895832395825, 50.82715392417698, 50.828980467433844), Parent_PIDs = (22, 22), theta = 0.00847765189725333, phi = 6.2254307791431485
pid = 2112, p = (-0.2563515050835523, -1.1361230427787476, 1.2712750310192327, 1.9635232751063756), Parent_PIDs = (2212, 90), theta = 0.7416692638744852, phi = 4.490468222843965
pid = -321, p = (-0.9343398697733025, 0.2781680052408696, 224.00931291837372, 224.0119781675428), Parent_PIDs = (2, -2), theta = 0.004351882743005539, phi = 2.852232511658405
pid = 211, p = (-0.1449708427604804, -0.1869949851806448, 8.153587248385328, 8.158213558841496), Parent_PIDs = (323, 90), theta = 0.029010826162490292, phi = 4.052912786516873
pid = 130, p = (-0.3858611478608025, 0.09391194439685671, 59.99555342425047, 59.998931279422976), Parent_PIDs = (311, 311), theta = 0.00661914415420394, phi = 2.902851628746604
pid = 22, p = (-0.020510141835240497, 0.4407208588084085, 43.06950711128319, 43.07176683571479), Parent_PIDs = (221, 90), theta = 0.010243498154945024, phi = 1.6173004891510783
pid = 22, p = (-0.3869523938687345, 0.0874803616657864, 63.28248528127256, 63.283728780337185), Parent_PIDs = (221, 90), theta = 0.006268915416453885, phi = 2.9192550026794226
pid = 211, p = (-0.46631357707007826, 0.15249955444943258, 36.358619171779814, 36.36219702286541), Parent_PIDs = (223, 90), theta = 0.01349299427163902, phi = 2.825523799577968
pid = -211, p = (-0.07181220854411136, 0.13481674198024102, 40.633859617319885, 40.63438642002823), Parent_PIDs = (223, 90), theta = 0.003759161248375567, phi = 2.060233461199715
pid = 22, p = (-0.2910247834920038, 0.28619214517689584, 65.85355352271914, 65.85481844890474), Parent_PIDs = (221, 90), theta = 0.006198041875886325, phi = 2.364566603282506
pid = 13, p = (-2.603374461438159, 1.1582644039912953, 526.5518650793796, 526.5595853439808), Parent_PIDs = (221, 90), theta = 0.0054113981287871645, phi = 2.7229805670439795
pid = -13, p = (-0.9481340146489354, 0.41773111708381894, 181.05699366480303, 181.05998888867737), Parent_PIDs = (221, 90), theta = 0.005722322905479865, phi = 2.7265979857571345
pid = 22, p = (-0.009927683801331222, -0.015961922732207257, 0.9946094102357752, 0.9947870228408343), Parent_PIDs = (111, 90), theta = 0.018897018847206442, phi = 4.155978433503019
pid = 22, p = (-0.6481929012774315, 0.07621209670884585, 61.172129826381585, 61.175611397162456), Parent_PIDs = (111, 90), theta = 0.010668798500010103, phi = 3.0245537424643696

pid = -11, p = (6.737578751261822, -1.7620443829772867, 917.90709067995, 917.9335089692652), Parent_PIDs = (-11, 90), theta = 0.0075868722658622885, phi = 6.027389467315979
pid = 22, p = (0.4301867801841683, -0.024872895832395825, 50.82715392417698, 50.828980467433844), Parent_PIDs = (22, 22), theta = 0.00847765189725333, phi = 6.2254307791431485
pid = 2112, p = (-0.2563515050835523, -1.1361230427787476, 1.2712750310192327, 1.9635232751063756), Parent_PIDs = (2212, 90), theta = 0.7416692638744852, phi = 4.490468222843965
pid = -321, p = (-0.9343398697733025, 0.2781680052408696, 224.00931291837372, 224.0119781675428), Parent_PIDs = (2, -2), theta = 0.004351882743005539, phi = 2.852232511658405
pid = 211, p = (-0.1449708427604804, -0.1869949851806448, 8.153587248385328, 8.158213558841496), Parent_PIDs = (323, 90), theta = 0.029010826162490292, phi = 4.052912786516873
pid = 130, p = (-0.3858611478608025, 0.09391194439685671, 59.99555342425047, 59.998931279422976), Parent_PIDs = (311, 311), theta = 0.00661914415420394, phi = 2.902851628746604
pid = 22, p = (-0.020510141835240497, 0.4407208588084085, 43.06950711128319, 43.07176683571479), Parent_PIDs = (221, 90), theta = 0.010243498154945024, phi = 1.6173004891510783
pid = 22, p = (-0.3869523938687345, 0.0874803616657864, 63.28248528127256, 63.283728780337185), Parent_PIDs = (221, 90), theta = 0.006268915416453885, phi = 2.9192550026794226
pid = 211, p = (-0.46631357707007826, 0.15249955444943258, 36.358619171779814, 36.36219702286541), Parent_PIDs = (223, 90), theta = 0.01349299427163902, phi = 2.825523799577968
pid = -211, p = (-0.07181220854411136, 0.13481674198024102, 40.633859617319885, 40.63438642002823), Parent_PIDs = (223, 90), theta = 0.003759161248375567, phi = 2.060233461199715
pid = 22, p = (-0.2910247834920038, 0.28619214517689584, 65.85355352271914, 65.85481844890474), Parent_PIDs = (221, 90), theta = 0.006198041875886325, phi = 2.364566603282506
pid = 13, p = (-2.603374461438159, 1.1582644039912953, 526.5518650793796, 526.5595853439808), Parent_PIDs = (221, 90), theta = 0.0054113981287871645, phi = 2.7229805670439795
pid = -13, p = (-0.9481340146489354, 0.41773111708381894, 181.05699366480303, 181.05998888867737), Parent_PIDs = (221, 90), theta = 0.005722322905479865, phi = 2.7265979857571345
pid = 22, p = (-0.009927683801331222, -0.015961922732207257, 0.9946094102357752, 0.9947870228408343), Parent_PIDs = (111, 90), theta = 0.018897018847206442, phi = 4.155978433503019
pid = 22, p = (-0.6481929012774315, 0.07621209670884585, 61.172129826381585, 61.175611397162456), Parent_PIDs = (111, 90), theta = 0.010668798500010103, phi = 3.0245537424643696

pid = -11, p = (6.737578751261822, -1.7620443829772867, 917.90709067995, 917.9335089692652), Parent_PIDs = (-11, 90), theta = 0.0075868722658622885, phi = 6.027389467315979
pid = 22, p = (0.4301867801841683, -0.024872895832395825, 50.82715392417698, 50.828980467433844), Parent_PIDs = (22, 22), theta = 0.00847765189725333, phi = 6.2254307791431485
pid = 2112, p = (-0.2563515050835523, -1.1361230427787476, 1.2712750310192327, 1.9635232751063756), Parent_PIDs = (2212, 90), theta = 0.7416692638744852, phi = 4.490468222843965
pid = -321, p = (-0.9343398697733025, 0.2781680052408696, 224.00931291837372, 224.0119781675428), Parent_PIDs = (2, -2), theta = 0.004351882743005539, phi = 2.852232511658405
pid = 211, p = (-0.1449708427604804, -0.1869949851806448, 8.153587248385328, 8.158213558841496), Parent_PIDs = (323, 90), theta = 0.029010826162490292, phi = 4.052912786516873
pid = 130, p = (-0.3858611478608025, 0.09391194439685671, 59.99555342425047, 59.998931279422976), Parent_PIDs = (311, 311), theta = 0.00661914415420394, phi = 2.902851628746604
pid = 22, p = (-0.020510141835240497, 0.4407208588084085, 43.06950711128319, 43.07176683571479), Parent_PIDs = (221, 90), theta = 0.010243498154945024, phi = 1.6173004891510783
pid = 22, p = (-0.3869523938687345, 0.0874803616657864, 63.28248528127256, 63.283728780337185), Parent_PIDs = (221, 90), theta = 0.006268915416453885, phi = 2.9192550026794226
pid = 211, p = (-0.46631357707007826, 0.15249955444943258, 36.358619171779814, 36.36219702286541), Parent_PIDs = (223, 90), theta = 0.01349299427163902, phi = 2.825523799577968
pid = -211, p = (-0.07181220854411136, 0.13481674198024102, 40.633859617319885, 40.63438642002823), Parent_PIDs = (223, 90), theta = 0.003759161248375567, phi = 2.060233461199715
pid = 22, p = (-0.2910247834920038, 0.28619214517689584, 65.85355352271914, 65.85481844890474), Parent_PIDs = (221, 90), theta = 0.006198041875886325, phi = 2.364566603282506
pid = 13, p = (-2.603374461438159, 1.1582644039912953, 526.5518650793796, 526.5595853439808), Parent_PIDs = (221, 90), theta = 0.0054113981287871645, phi = 2.7229805670439795
pid = -13, p = (-0.9481340146489354, 0.41773111708381894, 181.05699366480303, 181.05998888867737), Parent_PIDs = (221, 90), theta = 0.005722322905479865, phi = 2.7265979857571345
pid = 22, p = (-0.009927683801331222, -0.015961922732207257, 0.9946094102357752, 0.9947870228408343), Parent_PIDs = (111, 90), theta = 0.018897018847206442, phi = 4.155978433503019
pid = 22, p = (-0.6481929012774315, 0.07621209670884585, 61.172129826381585, 61.175611397162456), Parent_PIDs = (111, 90), theta = 0.010668798500010103, phi = 3.0245537424643696

pid = -11, p = (6.737578751261822, -1.7620443829772867, 917.90709067995, 917.9335089692652), Parent_PIDs = (-11, 90), theta = 0.0075868722658622885, phi = 6.027389467315979
pid = 22, p = (0.4301867801841683, -0.024872895832395825, 50.82715392417698, 50.828980467433844), Parent_PIDs = (22, 22), theta = 0.00847765189725333, phi = 6.2254307791431485
pid = 2112, p = (-0.2563515050835523, -1.1361230427787476, 1.2712750310192327, 1.9635232751063756), Parent_PIDs = (2212, 90), theta = 0.7416692638744852, phi = 4.490468222843965
pid = -321, p = (-0.9343398697733025, 0.2781680052408696, 224.00931291837372, 224.0119781675428), Parent_PIDs = (2, -2), theta = 0.004351882743005539, phi = 2.852232511658405
pid = 211, p = (-0.1449708427604804, -0.1869949851806448, 8.153587248385328, 8.158213558841496), Parent_PIDs = (323, 90), theta = 0.029010826162490292, phi = 4.052912786516873
pid = 130, p = (-0.3858611478608025, 0.09391194439685671, 59.99555342425047, 59.998931279422976), Parent_PIDs = (311, 311), theta = 0.00661914415420394, phi = 2.902851628746604
pid = 22, p = (-0.020510141835240497, 0.4407208588084085, 43.06950711128319, 43.07176683571479), Parent_PIDs = (221, 90), theta = 0.010243498154945024, phi = 1.6173004891510783
pid = 22, p = (-0.3869523938687345, 0.0874803616657864, 63.28248528127256, 63.283728780337185), Parent_PIDs = (221, 90), theta = 0.006268915416453885, phi = 2.9192550026794226
pid = 211, p = (-0.46631357707007826, 0.15249955444943258, 36.358619171779814, 36.36219702286541), Parent_PIDs = (223, 90), theta = 0.01349299427163902, phi = 2.825523799577968
pid = -211, p = (-0.07181220854411136, 0.13481674198024102, 40.633859617319885, 40.63438642002823), Parent_PIDs = (223, 90), theta = 0.003759161248375567, phi = 2.060233461199715
pid = 22, p = (-0.2910247834920038, 0.28619214517689584, 65.85355352271914, 65.85481844890474), Parent_PIDs = (221, 90), theta = 0.006198041875886325, phi = 2.364566603282506
pid = 13, p = (-2.603374461438159, 1.1582644039912953, 526.5518650793796, 526.5595853439808), Parent_PIDs = (221, 90), theta = 0.0054113981287871645, phi = 2.7229805670439795
pid = -13, p = (-0.9481340146489354, 0.41773111708381894, 181.05699366480303, 181.05998888867737), Parent_PIDs = (221, 90), theta = 0.005722322905479865, phi = 2.7265979857571345
pid = 22, p = (-0.009927683801331222, -0.015961922732207257, 0.9946094102357752, 0.9947870228408343), Parent_PIDs = (111, 90), theta = 0.018897018847206442, phi = 4.155978433503019
pid = 22, p = (-0.6481929012774315, 0.07621209670884585, 61.172129826381585, 61.175611397162456), Parent_PIDs = (111, 90), theta = 0.010668798500010103, phi = 3.0245537424643696
