Events for energy 897.164117 GeV:
Cross section pb: 2.80972877669809
Total number of events: 999816

pid = 2212, p = (0.14677634724734123, -0.12604303912359932, 3.993707305624821, 4.1070036254821884), Parent_PIDs = (2224, 90), theta = 0.048405546935711315, phi = 5.573637805768353
pid = 211, p = (-0.14131970848027176, 0.22941292476156044, 1.1064913217963974, 1.1473466695656287), Parent_PIDs = (2224, 90), theta = 0.2388654675913481, phi = 2.122901794492756
pid = 22, p = (-0.10389845664904943, 0.03866810284999191, 0.6683689653306394, 0.6775006902499963), Parent_PIDs = (221, 90), theta = 0.1643711341812776, phi = 2.785303573553338
pid = 13, p = (0.1364761926080727, 0.4045532289196989, 9.00092401459003, 9.011663898426391), Parent_PIDs = (221, 90), theta = 0.047398850343076636, phi = 1.245434781987063
pid = -13, p = (-0.01827406194207566, 0.16995413848757257, 3.5550683550658437, 3.560743376785174), Parent_PIDs = (221, 90), theta = 0.048044707318775436, phi = 1.6779082962149356
pid = 11, p = (-0.4780191440900583, -0.35376174006251515, 3.031643980127404, 3.08941987340866), Parent_PIDs = (-421, 90), theta = 0.1936996606720765, phi = 3.7787002541959938
pid = -12, p = (-0.4849092009137259, 0.13845869131314728, 1.0748980998998205, 1.1873136348493525), Parent_PIDs = (-421, 90), theta = 0.43866513826310194, phi = 2.8634584851857277
pid = 211, p = (0.28128601253605046, 0.8241678427519326, 2.9156351075309526, 3.0461093741101672), Parent_PIDs = (-421, 90), theta = 0.2902469457430576, phi = 1.241895676496923
pid = 22, p = (0.008923244482484183, 0.05284607775760304, 0.5200047130085781, 0.5227592503032256), Parent_PIDs = (111, 90), theta = 0.10270210550300769, phi = 1.4035206901584518
pid = 22, p = (-0.02573643387626062, 0.02327869439917768, 0.02170566336752522, 0.04093161936476209), Parent_PIDs = (111, 90), theta = 1.011852736118556, phi = 2.406294997133648

pid = -11, p = (0.19037493184312448, -2.1158826702267888, 830.2117429024795, 830.2144610012058), Parent_PIDs = (-11, -11), theta = 0.0025588956167226346, phi = 4.802121599929625
pid = -321, p = (0.255663241433267, 0.8020063089734347, 16.119433545431797, 16.148945339576986), Parent_PIDs = (3, 2103), theta = 0.05217346589700069, phi = 1.262200823414738
pid = 211, p = (-0.20233435675506398, -0.019526656652649098, 0.7468873658242915, 0.7865373509067864), Parent_PIDs = (3, 2103), theta = 0.26572588769884936, phi = 3.2378015845846497
pid = -211, p = (0.4252966421762093, -0.13033398929459977, 0.28711142634999776, 0.5475188934206142), Parent_PIDs = (3, 2103), theta = 0.997621864091044, phi = 5.985817695824122
pid = -211, p = (0.009694750379957366, 0.06220208514604472, 0.10947665064584917, 0.18822329695890144), Parent_PIDs = (3, 2103), theta = 0.5218616314058492, phi = 1.416181358415948
pid = 2212, p = (0.14677634724734123, -0.12604303912359932, 3.993707305624821, 4.1070036254821884), Parent_PIDs = (2224, 90), theta = 0.048405546935711315, phi = 5.573637805768353
pid = 211, p = (-0.14131970848027176, 0.22941292476156044, 1.1064913217963974, 1.1473466695656287), Parent_PIDs = (2224, 90), theta = 0.2388654675913481, phi = 2.122901794492756
pid = 22, p = (-0.10389845664904943, 0.03866810284999191, 0.6683689653306394, 0.6775006902499963), Parent_PIDs = (221, 90), theta = 0.1643711341812776, phi = 2.785303573553338
pid = 13, p = (0.1364761926080727, 0.4045532289196989, 9.00092401459003, 9.011663898426391), Parent_PIDs = (221, 90), theta = 0.047398850343076636, phi = 1.245434781987063
pid = -13, p = (-0.01827406194207566, 0.16995413848757257, 3.5550683550658437, 3.560743376785174), Parent_PIDs = (221, 90), theta = 0.048044707318775436, phi = 1.6779082962149356
pid = 11, p = (-0.4780191440900583, -0.35376174006251515, 3.031643980127404, 3.08941987340866), Parent_PIDs = (-421, 90), theta = 0.1936996606720765, phi = 3.7787002541959938
pid = -12, p = (-0.4849092009137259, 0.13845869131314728, 1.0748980998998205, 1.1873136348493525), Parent_PIDs = (-421, 90), theta = 0.43866513826310194, phi = 2.8634584851857277
pid = 211, p = (0.28128601253605046, 0.8241678427519326, 2.9156351075309526, 3.0461093741101672), Parent_PIDs = (-421, 90), theta = 0.2902469457430576, phi = 1.241895676496923
pid = 22, p = (0.008923244482484183, 0.05284607775760304, 0.5200047130085781, 0.5227592503032256), Parent_PIDs = (111, 90), theta = 0.10270210550300769, phi = 1.4035206901584518
pid = 22, p = (-0.02573643387626062, 0.02327869439917768, 0.02170566336752522, 0.04093161936476209), Parent_PIDs = (111, 90), theta = 1.011852736118556, phi = 2.406294997133648

pid = -11, p = (0.19037493184312448, -2.1158826702267888, 830.2117429024795, 830.2144610012058), Parent_PIDs = (-11, -11), theta = 0.0025588956167226346, phi = 4.802121599929625
pid = -321, p = (0.255663241433267, 0.8020063089734347, 16.119433545431797, 16.148945339576986), Parent_PIDs = (3, 2103), theta = 0.05217346589700069, phi = 1.262200823414738
pid = 211, p = (-0.20233435675506398, -0.019526656652649098, 0.7468873658242915, 0.7865373509067864), Parent_PIDs = (3, 2103), theta = 0.26572588769884936, phi = 3.2378015845846497
pid = -211, p = (0.4252966421762093, -0.13033398929459977, 0.28711142634999776, 0.5475188934206142), Parent_PIDs = (3, 2103), theta = 0.997621864091044, phi = 5.985817695824122
pid = -211, p = (0.009694750379957366, 0.06220208514604472, 0.10947665064584917, 0.18822329695890144), Parent_PIDs = (3, 2103), theta = 0.5218616314058492, phi = 1.416181358415948
pid = 2212, p = (0.14677634724734123, -0.12604303912359932, 3.993707305624821, 4.1070036254821884), Parent_PIDs = (2224, 90), theta = 0.048405546935711315, phi = 5.573637805768353
pid = 211, p = (-0.14131970848027176, 0.22941292476156044, 1.1064913217963974, 1.1473466695656287), Parent_PIDs = (2224, 90), theta = 0.2388654675913481, phi = 2.122901794492756
pid = 22, p = (-0.10389845664904943, 0.03866810284999191, 0.6683689653306394, 0.6775006902499963), Parent_PIDs = (221, 90), theta = 0.1643711341812776, phi = 2.785303573553338
pid = 13, p = (0.1364761926080727, 0.4045532289196989, 9.00092401459003, 9.011663898426391), Parent_PIDs = (221, 90), theta = 0.047398850343076636, phi = 1.245434781987063
pid = -13, p = (-0.01827406194207566, 0.16995413848757257, 3.5550683550658437, 3.560743376785174), Parent_PIDs = (221, 90), theta = 0.048044707318775436, phi = 1.6779082962149356
pid = 11, p = (-0.4780191440900583, -0.35376174006251515, 3.031643980127404, 3.08941987340866), Parent_PIDs = (-421, 90), theta = 0.1936996606720765, phi = 3.7787002541959938
pid = -12, p = (-0.4849092009137259, 0.13845869131314728, 1.0748980998998205, 1.1873136348493525), Parent_PIDs = (-421, 90), theta = 0.43866513826310194, phi = 2.8634584851857277
pid = 211, p = (0.28128601253605046, 0.8241678427519326, 2.9156351075309526, 3.0461093741101672), Parent_PIDs = (-421, 90), theta = 0.2902469457430576, phi = 1.241895676496923
pid = 22, p = (0.008923244482484183, 0.05284607775760304, 0.5200047130085781, 0.5227592503032256), Parent_PIDs = (111, 90), theta = 0.10270210550300769, phi = 1.4035206901584518
pid = 22, p = (-0.02573643387626062, 0.02327869439917768, 0.02170566336752522, 0.04093161936476209), Parent_PIDs = (111, 90), theta = 1.011852736118556, phi = 2.406294997133648

pid = -11, p = (0.19037493184312448, -2.1158826702267888, 830.2117429024795, 830.2144610012058), Parent_PIDs = (-11, -11), theta = 0.0025588956167226346, phi = 4.802121599929625
pid = -321, p = (0.255663241433267, 0.8020063089734347, 16.119433545431797, 16.148945339576986), Parent_PIDs = (3, 2103), theta = 0.05217346589700069, phi = 1.262200823414738
pid = 211, p = (-0.20233435675506398, -0.019526656652649098, 0.7468873658242915, 0.7865373509067864), Parent_PIDs = (3, 2103), theta = 0.26572588769884936, phi = 3.2378015845846497
pid = -211, p = (0.4252966421762093, -0.13033398929459977, 0.28711142634999776, 0.5475188934206142), Parent_PIDs = (3, 2103), theta = 0.997621864091044, phi = 5.985817695824122
pid = -211, p = (0.009694750379957366, 0.06220208514604472, 0.10947665064584917, 0.18822329695890144), Parent_PIDs = (3, 2103), theta = 0.5218616314058492, phi = 1.416181358415948
pid = 2212, p = (0.14677634724734123, -0.12604303912359932, 3.993707305624821, 4.1070036254821884), Parent_PIDs = (2224, 90), theta = 0.048405546935711315, phi = 5.573637805768353
pid = 211, p = (-0.14131970848027176, 0.22941292476156044, 1.1064913217963974, 1.1473466695656287), Parent_PIDs = (2224, 90), theta = 0.2388654675913481, phi = 2.122901794492756
pid = 22, p = (-0.10389845664904943, 0.03866810284999191, 0.6683689653306394, 0.6775006902499963), Parent_PIDs = (221, 90), theta = 0.1643711341812776, phi = 2.785303573553338
pid = 13, p = (0.1364761926080727, 0.4045532289196989, 9.00092401459003, 9.011663898426391), Parent_PIDs = (221, 90), theta = 0.047398850343076636, phi = 1.245434781987063
pid = -13, p = (-0.01827406194207566, 0.16995413848757257, 3.5550683550658437, 3.560743376785174), Parent_PIDs = (221, 90), theta = 0.048044707318775436, phi = 1.6779082962149356
pid = 11, p = (-0.4780191440900583, -0.35376174006251515, 3.031643980127404, 3.08941987340866), Parent_PIDs = (-421, 90), theta = 0.1936996606720765, phi = 3.7787002541959938
pid = -12, p = (-0.4849092009137259, 0.13845869131314728, 1.0748980998998205, 1.1873136348493525), Parent_PIDs = (-421, 90), theta = 0.43866513826310194, phi = 2.8634584851857277
pid = 211, p = (0.28128601253605046, 0.8241678427519326, 2.9156351075309526, 3.0461093741101672), Parent_PIDs = (-421, 90), theta = 0.2902469457430576, phi = 1.241895676496923
pid = 22, p = (0.008923244482484183, 0.05284607775760304, 0.5200047130085781, 0.5227592503032256), Parent_PIDs = (111, 90), theta = 0.10270210550300769, phi = 1.4035206901584518
pid = 22, p = (-0.02573643387626062, 0.02327869439917768, 0.02170566336752522, 0.04093161936476209), Parent_PIDs = (111, 90), theta = 1.011852736118556, phi = 2.406294997133648

pid = -11, p = (0.19037493184312448, -2.1158826702267888, 830.2117429024795, 830.2144610012058), Parent_PIDs = (-11, -11), theta = 0.0025588956167226346, phi = 4.802121599929625
pid = -321, p = (0.255663241433267, 0.8020063089734347, 16.119433545431797, 16.148945339576986), Parent_PIDs = (3, 2103), theta = 0.05217346589700069, phi = 1.262200823414738
pid = 211, p = (-0.20233435675506398, -0.019526656652649098, 0.7468873658242915, 0.7865373509067864), Parent_PIDs = (3, 2103), theta = 0.26572588769884936, phi = 3.2378015845846497
pid = -211, p = (0.4252966421762093, -0.13033398929459977, 0.28711142634999776, 0.5475188934206142), Parent_PIDs = (3, 2103), theta = 0.997621864091044, phi = 5.985817695824122
pid = -211, p = (0.009694750379957366, 0.06220208514604472, 0.10947665064584917, 0.18822329695890144), Parent_PIDs = (3, 2103), theta = 0.5218616314058492, phi = 1.416181358415948
pid = 2212, p = (0.14677634724734123, -0.12604303912359932, 3.993707305624821, 4.1070036254821884), Parent_PIDs = (2224, 90), theta = 0.048405546935711315, phi = 5.573637805768353
pid = 211, p = (-0.14131970848027176, 0.22941292476156044, 1.1064913217963974, 1.1473466695656287), Parent_PIDs = (2224, 90), theta = 0.2388654675913481, phi = 2.122901794492756
pid = 22, p = (-0.10389845664904943, 0.03866810284999191, 0.6683689653306394, 0.6775006902499963), Parent_PIDs = (221, 90), theta = 0.1643711341812776, phi = 2.785303573553338
pid = 13, p = (0.1364761926080727, 0.4045532289196989, 9.00092401459003, 9.011663898426391), Parent_PIDs = (221, 90), theta = 0.047398850343076636, phi = 1.245434781987063
pid = -13, p = (-0.01827406194207566, 0.16995413848757257, 3.5550683550658437, 3.560743376785174), Parent_PIDs = (221, 90), theta = 0.048044707318775436, phi = 1.6779082962149356
pid = 11, p = (-0.4780191440900583, -0.35376174006251515, 3.031643980127404, 3.08941987340866), Parent_PIDs = (-421, 90), theta = 0.1936996606720765, phi = 3.7787002541959938
pid = -12, p = (-0.4849092009137259, 0.13845869131314728, 1.0748980998998205, 1.1873136348493525), Parent_PIDs = (-421, 90), theta = 0.43866513826310194, phi = 2.8634584851857277
pid = 211, p = (0.28128601253605046, 0.8241678427519326, 2.9156351075309526, 3.0461093741101672), Parent_PIDs = (-421, 90), theta = 0.2902469457430576, phi = 1.241895676496923
pid = 22, p = (0.008923244482484183, 0.05284607775760304, 0.5200047130085781, 0.5227592503032256), Parent_PIDs = (111, 90), theta = 0.10270210550300769, phi = 1.4035206901584518
pid = 22, p = (-0.02573643387626062, 0.02327869439917768, 0.02170566336752522, 0.04093161936476209), Parent_PIDs = (111, 90), theta = 1.011852736118556, phi = 2.406294997133648

pid = -11, p = (0.19037493184312448, -2.1158826702267888, 830.2117429024795, 830.2144610012058), Parent_PIDs = (-11, -11), theta = 0.0025588956167226346, phi = 4.802121599929625
pid = -321, p = (0.255663241433267, 0.8020063089734347, 16.119433545431797, 16.148945339576986), Parent_PIDs = (3, 2103), theta = 0.05217346589700069, phi = 1.262200823414738
pid = 211, p = (-0.20233435675506398, -0.019526656652649098, 0.7468873658242915, 0.7865373509067864), Parent_PIDs = (3, 2103), theta = 0.26572588769884936, phi = 3.2378015845846497
pid = -211, p = (0.4252966421762093, -0.13033398929459977, 0.28711142634999776, 0.5475188934206142), Parent_PIDs = (3, 2103), theta = 0.997621864091044, phi = 5.985817695824122
pid = -211, p = (0.009694750379957366, 0.06220208514604472, 0.10947665064584917, 0.18822329695890144), Parent_PIDs = (3, 2103), theta = 0.5218616314058492, phi = 1.416181358415948
pid = 2212, p = (0.14677634724734123, -0.12604303912359932, 3.993707305624821, 4.1070036254821884), Parent_PIDs = (2224, 90), theta = 0.048405546935711315, phi = 5.573637805768353
pid = 211, p = (-0.14131970848027176, 0.22941292476156044, 1.1064913217963974, 1.1473466695656287), Parent_PIDs = (2224, 90), theta = 0.2388654675913481, phi = 2.122901794492756
pid = 22, p = (-0.10389845664904943, 0.03866810284999191, 0.6683689653306394, 0.6775006902499963), Parent_PIDs = (221, 90), theta = 0.1643711341812776, phi = 2.785303573553338
pid = 13, p = (0.1364761926080727, 0.4045532289196989, 9.00092401459003, 9.011663898426391), Parent_PIDs = (221, 90), theta = 0.047398850343076636, phi = 1.245434781987063
pid = -13, p = (-0.01827406194207566, 0.16995413848757257, 3.5550683550658437, 3.560743376785174), Parent_PIDs = (221, 90), theta = 0.048044707318775436, phi = 1.6779082962149356
pid = 11, p = (-0.4780191440900583, -0.35376174006251515, 3.031643980127404, 3.08941987340866), Parent_PIDs = (-421, 90), theta = 0.1936996606720765, phi = 3.7787002541959938
pid = -12, p = (-0.4849092009137259, 0.13845869131314728, 1.0748980998998205, 1.1873136348493525), Parent_PIDs = (-421, 90), theta = 0.43866513826310194, phi = 2.8634584851857277
pid = 211, p = (0.28128601253605046, 0.8241678427519326, 2.9156351075309526, 3.0461093741101672), Parent_PIDs = (-421, 90), theta = 0.2902469457430576, phi = 1.241895676496923
pid = 22, p = (0.008923244482484183, 0.05284607775760304, 0.5200047130085781, 0.5227592503032256), Parent_PIDs = (111, 90), theta = 0.10270210550300769, phi = 1.4035206901584518
pid = 22, p = (-0.02573643387626062, 0.02327869439917768, 0.02170566336752522, 0.04093161936476209), Parent_PIDs = (111, 90), theta = 1.011852736118556, phi = 2.406294997133648

pid = -11, p = (0.7422925073016559, 1.4073544889375422, 169.80768037995134, 169.81513466444844), Parent_PIDs = (-11, -11), theta = 0.009369822183462004, phi = 1.0854398730377273
pid = 211, p = (0.06798463850998801, -0.11755512977671205, 1.2063666621209954, 1.2219825808852955), Parent_PIDs = (1, 2101), theta = 0.11209594960530744, phi = 5.236715742227247
pid = 2112, p = (-0.27343441395465495, 0.6610718818282606, 6.113182615904554, 6.226200759048517), Parent_PIDs = (1, 2101), theta = 0.11649424570154099, phi = 1.9629910704238915
pid = -211, p = (0.433571660085284, -0.4356462053427082, 67.77262292448454, 67.7755536299773), Parent_PIDs = (-213, 90), theta = 0.009068776170120509, phi = 5.495400467896941
