Energy,Cross_section_pb,Total_events,pid,momentum,parent_pids,theta,phi
,,,22,"(-0.15919610053888827, -0.11609674079490448, 30.72560416362937, 30.726235907961257)","(111, 90)",0.006412564385065739,3.771693205827273
,,,22,"(-0.08386113541200788, -0.004324987981745632, 2.1408461232267486, 2.1424923614539746)","(111, 90)",0.03920392143274985,3.193120212091455
,,,22,"(-0.019375432561417896, -0.13308760940458544, 3.620678420599943, 3.6231753952247563)","(111, 90)",0.03712806605189739,4.567820587533522
,,,22,"(-0.18970183318412487, 0.08979575662170805, 0.5752268061534866, 0.6123201302735551)","(111, 90)",0.3498571649189122,2.6994897334406636
,,,22,"(-0.007561227136018443, 0.014684902725567514, -0.002791243975356905, 0.016751404919940465)","(111, 90)",1.7382046386154846,2.046291183068451
,,,,,,,
,,,-11,"(4.5952870140931035, 3.4641548043661934, 731.3827095906126, 731.4053492555397)","(-11, -11)",0.007868139435375517,0.6459602380607031
,,,13,"(3.1881437779219097, 1.2860398506972688, 378.78300038411106, 378.79861497010694)","(13, 13)",0.009075540834075697,0.3834185000406601
,,,22,"(0.11917889543945356, 0.046186555198765175, 15.482193653725691, 15.482721244615343)","(22, 22)",0.008255459051300039,0.3697188186150147
,,,-13,"(0.4319048533328413, 0.1461867168621585, 86.40653805477895, 86.40780575275639)","(-13, -13)",0.005277029427793258,0.3263661616502464
,,,-321,"(-2.046667168984827, -0.8395155936724336, 266.52397243031703, 266.5336099498737)","(1, 2101)",0.008299834734730496,3.5308496819636748
,,,211,"(-1.1155500442898454, -0.46124088460279145, 133.36397554893134, 133.3695116923497)","(1, 2101)",0.009051247719378345,3.5336526172104694
,,,-211,"(-0.47225872321437723, 0.021076921956592325, 3.8425852458181238, 3.8740693972321107)","(1, 2101)",0.12240856835293225,3.096992218126589
,,,211,"(-0.06530568100255743, 0.18402406693397821, 0.20657934397882377, 0.3166772796410413)","(1, 2101)",0.7572578707707632,1.9118081887814689
,,,-211,"(-0.7686032023914839, -0.7553013798068399, 63.68974591316202, 63.699014476874765)","(-213, 90)",0.016917974573380123,3.918262262111374
,,,211,"(-0.3732970172132983, 0.06927201397841942, 19.56765208488931, 19.571832749519242)","(113, 90)",0.019400504421803782,2.9581116540081216
,,,-211,"(-0.047783298562375065, -0.014044824541162258, 123.8541067279203, 123.85419538173377)","(113, 90)",0.0004021233055001083,3.4274690600952957
,,,2212,"(0.02792079802880104, 0.18791531122623145, 57.27013338813877, 57.27813387867365)","(2214, 90)",0.0033172186109810676,1.4232936447999869
,,,-2212,"(0.09804789890103659, 0.5218744819809262, 20.52342389248925, 20.55172122302948)","(-2114, 90)",0.025867351096920763,1.3850847850474743
,,,211,"(0.14258930889493227, -0.19052273617992566, 7.310428101128823, 7.315631854507618)","(-2114, 90)",0.032540897928582634,5.3548723444932556
,,,2112,"(-0.49176941377631345, -0.46555976319552955, 4.100470391398029, 4.260895711592163)","(2114, 90)",0.16367143324824504,3.8996197666897414
,,,22,"(0.05515448386436235, -0.15049815576128384, 15.861654855614534, 15.862464703526301)","(111, 90)",0.010104928491707047,5.063668749752334
,,,22,"(0.06495325983181022, -0.2723452375379137, 51.326145642120125, 51.326909290648864)","(111, 90)",0.005454937000259279,4.946511423743882
,,,22,"(-0.14088875593761085, -0.11658033275507365, 1.9993424753550395, 2.0076879611368263)","(111, 90)",0.09121016771747555,3.8328568754623977
,,,22,"(-0.2501461887036425, -0.2728923886695412, 2.458088144502948, 2.485807856143083)","(111, 90)",0.14947892859974438,3.9704520023990146
,,,211,"(-1.063796810972694, -0.7583619792871689, 214.73882049766945, 214.74283989242076)","(310, 90)",0.006083764744485024,3.7609122733642057
,,,-211,"(-0.10146532327842803, -0.21700602871796726, 34.87141770554445, 34.872519831635145)","(310, 90)",0.006869571934548871,4.275020990802833
,,,22,"(-1.325952933148369, -1.263832739638944, 238.0880067235844, 238.09505322451426)","(111, 90)",0.007693565216032325,3.90300880006
,,,22,"(-0.15919610053888827, -0.11609674079490448, 30.72560416362937, 30.726235907961257)","(111, 90)",0.006412564385065739,3.771693205827273
,,,22,"(-0.08386113541200788, -0.004324987981745632, 2.1408461232267486, 2.1424923614539746)","(111, 90)",0.03920392143274985,3.193120212091455
,,,22,"(-0.019375432561417896, -0.13308760940458544, 3.620678420599943, 3.6231753952247563)","(111, 90)",0.03712806605189739,4.567820587533522
,,,22,"(-0.18970183318412487, 0.08979575662170805, 0.5752268061534866, 0.6123201302735551)","(111, 90)",0.3498571649189122,2.6994897334406636
,,,22,"(-0.007561227136018443, 0.014684902725567514, -0.002791243975356905, 0.016751404919940465)","(111, 90)",1.7382046386154846,2.046291183068451
,,,,,,,
,,,-11,"(4.5952870140931035, 3.4641548043661934, 731.3827095906126, 731.4053492555397)","(-11, -11)",0.007868139435375517,0.6459602380607031
,,,13,"(3.1881437779219097, 1.2860398506972688, 378.78300038411106, 378.79861497010694)","(13, 13)",0.009075540834075697,0.3834185000406601
,,,22,"(0.11917889543945356, 0.046186555198765175, 15.482193653725691, 15.482721244615343)","(22, 22)",0.008255459051300039,0.3697188186150147
,,,-13,"(0.4319048533328413, 0.1461867168621585, 86.40653805477895, 86.40780575275639)","(-13, -13)",0.005277029427793258,0.3263661616502464
,,,-321,"(-2.046667168984827, -0.8395155936724336, 266.52397243031703, 266.5336099498737)","(1, 2101)",0.008299834734730496,3.5308496819636748
,,,211,"(-1.1155500442898454, -0.46124088460279145, 133.36397554893134, 133.3695116923497)","(1, 2101)",0.009051247719378345,3.5336526172104694
,,,-211,"(-0.47225872321437723, 0.021076921956592325, 3.8425852458181238, 3.8740693972321107)","(1, 2101)",0.12240856835293225,3.096992218126589
,,,211,"(-0.06530568100255743, 0.18402406693397821, 0.20657934397882377, 0.3166772796410413)","(1, 2101)",0.7572578707707632,1.9118081887814689
,,,-211,"(-0.7686032023914839, -0.7553013798068399, 63.68974591316202, 63.699014476874765)","(-213, 90)",0.016917974573380123,3.918262262111374
,,,211,"(-0.3732970172132983, 0.06927201397841942, 19.56765208488931, 19.571832749519242)","(113, 90)",0.019400504421803782,2.9581116540081216
,,,-211,"(-0.047783298562375065, -0.014044824541162258, 123.8541067279203, 123.85419538173377)","(113, 90)",0.0004021233055001083,3.4274690600952957
,,,2212,"(0.02792079802880104, 0.18791531122623145, 57.27013338813877, 57.27813387867365)","(2214, 90)",0.0033172186109810676,1.4232936447999869
,,,-2212,"(0.09804789890103659, 0.5218744819809262, 20.52342389248925, 20.55172122302948)","(-2114, 90)",0.025867351096920763,1.3850847850474743
,,,211,"(0.14258930889493227, -0.19052273617992566, 7.310428101128823, 7.315631854507618)","(-2114, 90)",0.032540897928582634,5.3548723444932556
,,,2112,"(-0.49176941377631345, -0.46555976319552955, 4.100470391398029, 4.260895711592163)","(2114, 90)",0.16367143324824504,3.8996197666897414
,,,22,"(0.05515448386436235, -0.15049815576128384, 15.861654855614534, 15.862464703526301)","(111, 90)",0.010104928491707047,5.063668749752334
,,,22,"(0.06495325983181022, -0.2723452375379137, 51.326145642120125, 51.326909290648864)","(111, 90)",0.005454937000259279,4.946511423743882
,,,22,"(-0.14088875593761085, -0.11658033275507365, 1.9993424753550395, 2.0076879611368263)","(111, 90)",0.09121016771747555,3.8328568754623977
,,,22,"(-0.2501461887036425, -0.2728923886695412, 2.458088144502948, 2.485807856143083)","(111, 90)",0.14947892859974438,3.9704520023990146
,,,211,"(-1.063796810972694, -0.7583619792871689, 214.73882049766945, 214.74283989242076)","(310, 90)",0.006083764744485024,3.7609122733642057
,,,-211,"(-0.10146532327842803, -0.21700602871796726, 34.87141770554445, 34.872519831635145)","(310, 90)",0.006869571934548871,4.275020990802833
,,,22,"(-1.325952933148369, -1.263832739638944, 238.0880067235844, 238.09505322451426)","(111, 90)",0.007693565216032325,3.90300880006
,,,22,"(-0.15919610053888827, -0.11609674079490448, 30.72560416362937, 30.726235907961257)","(111, 90)",0.006412564385065739,3.771693205827273
,,,22,"(-0.08386113541200788, -0.004324987981745632, 2.1408461232267486, 2.1424923614539746)","(111, 90)",0.03920392143274985,3.193120212091455
,,,22,"(-0.019375432561417896, -0.13308760940458544, 3.620678420599943, 3.6231753952247563)","(111, 90)",0.03712806605189739,4.567820587533522
,,,22,"(-0.18970183318412487, 0.08979575662170805, 0.5752268061534866, 0.6123201302735551)","(111, 90)",0.3498571649189122,2.6994897334406636
,,,22,"(-0.007561227136018443, 0.014684902725567514, -0.002791243975356905, 0.016751404919940465)","(111, 90)",1.7382046386154846,2.046291183068451
,,,,,,,
,,,-11,"(4.5952870140931035, 3.4641548043661934, 731.3827095906126, 731.4053492555397)","(-11, -11)",0.007868139435375517,0.6459602380607031
,,,13,"(3.1881437779219097, 1.2860398506972688, 378.78300038411106, 378.79861497010694)","(13, 13)",0.009075540834075697,0.3834185000406601
,,,22,"(0.11917889543945356, 0.046186555198765175, 15.482193653725691, 15.482721244615343)","(22, 22)",0.008255459051300039,0.3697188186150147
,,,-13,"(0.4319048533328413, 0.1461867168621585, 86.40653805477895, 86.40780575275639)","(-13, -13)",0.005277029427793258,0.3263661616502464
,,,-321,"(-2.046667168984827, -0.8395155936724336, 266.52397243031703, 266.5336099498737)","(1, 2101)",0.008299834734730496,3.5308496819636748
,,,211,"(-1.1155500442898454, -0.46124088460279145, 133.36397554893134, 133.3695116923497)","(1, 2101)",0.009051247719378345,3.5336526172104694
,,,-211,"(-0.47225872321437723, 0.021076921956592325, 3.8425852458181238, 3.8740693972321107)","(1, 2101)",0.12240856835293225,3.096992218126589
,,,211,"(-0.06530568100255743, 0.18402406693397821, 0.20657934397882377, 0.3166772796410413)","(1, 2101)",0.7572578707707632,1.9118081887814689
,,,-211,"(-0.7686032023914839, -0.7553013798068399, 63.68974591316202, 63.699014476874765)","(-213, 90)",0.016917974573380123,3.918262262111374
,,,211,"(-0.3732970172132983, 0.06927201397841942, 19.56765208488931, 19.571832749519242)","(113, 90)",0.019400504421803782,2.9581116540081216
,,,-211,"(-0.047783298562375065, -0.014044824541162258, 123.8541067279203, 123.85419538173377)","(113, 90)",0.0004021233055001083,3.4274690600952957
,,,2212,"(0.02792079802880104, 0.18791531122623145, 57.27013338813877, 57.27813387867365)","(2214, 90)",0.0033172186109810676,1.4232936447999869
,,,-2212,"(0.09804789890103659, 0.5218744819809262, 20.52342389248925, 20.55172122302948)","(-2114, 90)",0.025867351096920763,1.3850847850474743
,,,211,"(0.14258930889493227, -0.19052273617992566, 7.310428101128823, 7.315631854507618)","(-2114, 90)",0.032540897928582634,5.3548723444932556
,,,2112,"(-0.49176941377631345, -0.46555976319552955, 4.100470391398029, 4.260895711592163)","(2114, 90)",0.16367143324824504,3.8996197666897414
,,,22,"(0.05515448386436235, -0.15049815576128384, 15.861654855614534, 15.862464703526301)","(111, 90)",0.010104928491707047,5.063668749752334
,,,22,"(0.06495325983181022, -0.2723452375379137, 51.326145642120125, 51.326909290648864)","(111, 90)",0.005454937000259279,4.946511423743882
,,,22,"(-0.14088875593761085, -0.11658033275507365, 1.9993424753550395, 2.0076879611368263)","(111, 90)",0.09121016771747555,3.8328568754623977
,,,22,"(-0.2501461887036425, -0.2728923886695412, 2.458088144502948, 2.485807856143083)","(111, 90)",0.14947892859974438,3.9704520023990146
,,,211,"(-1.063796810972694, -0.7583619792871689, 214.73882049766945, 214.74283989242076)","(310, 90)",0.006083764744485024,3.7609122733642057
,,,-211,"(-0.10146532327842803, -0.21700602871796726, 34.87141770554445, 34.872519831635145)","(310, 90)",0.006869571934548871,4.275020990802833
,,,22,"(-1.325952933148369, -1.263832739638944, 238.0880067235844, 238.09505322451426)","(111, 90)",0.007693565216032325,3.90300880006
,,,22,"(-0.15919610053888827, -0.11609674079490448, 30.72560416362937, 30.726235907961257)","(111, 90)",0.006412564385065739,3.771693205827273
,,,22,"(-0.08386113541200788, -0.004324987981745632, 2.1408461232267486, 2.1424923614539746)","(111, 90)",0.03920392143274985,3.193120212091455
,,,22,"(-0.019375432561417896, -0.13308760940458544, 3.620678420599943, 3.6231753952247563)","(111, 90)",0.03712806605189739,4.567820587533522
,,,22,"(-0.18970183318412487, 0.08979575662170805, 0.5752268061534866, 0.6123201302735551)","(111, 90)",0.3498571649189122,2.6994897334406636
,,,22,"(-0.007561227136018443, 0.014684902725567514, -0.002791243975356905, 0.016751404919940465)","(111, 90)",1.7382046386154846,2.046291183068451
,,,,,,,
,,,-11,"(4.5952870140931035, 3.4641548043661934, 731.3827095906126, 731.4053492555397)","(-11, -11)",0.007868139435375517,0.6459602380607031
,,,13,"(3.1881437779219097, 1.2860398506972688, 378.78300038411106, 378.79861497010694)","(13, 13)",0.009075540834075697,0.3834185000406601
,,,22,"(0.11917889543945356, 0.046186555198765175, 15.482193653725691, 15.482721244615343)","(22, 22)",0.008255459051300039,0.3697188186150147
,,,-13,"(0.4319048533328413, 0.1461867168621585, 86.40653805477895, 86.40780575275639)","(-13, -13)",0.005277029427793258,0.3263661616502464
,,,-321,"(-2.046667168984827, -0.8395155936724336, 266.52397243031703, 266.5336099498737)","(1, 2101)",0.008299834734730496,3.5308496819636748
,,,211,"(-1.1155500442898454, -0.46124088460279145, 133.36397554893134, 133.3695116923497)","(1, 2101)",0.009051247719378345,3.5336526172104694
,,,-211,"(-0.47225872321437723, 0.021076921956592325, 3.8425852458181238, 3.8740693972321107)","(1, 2101)",0.12240856835293225,3.096992218126589
,,,211,"(-0.06530568100255743, 0.18402406693397821, 0.20657934397882377, 0.3166772796410413)","(1, 2101)",0.7572578707707632,1.9118081887814689
,,,-211,"(-0.7686032023914839, -0.7553013798068399, 63.68974591316202, 63.699014476874765)","(-213, 90)",0.016917974573380123,3.918262262111374
,,,211,"(-0.3732970172132983, 0.06927201397841942, 19.56765208488931, 19.571832749519242)","(113, 90)",0.019400504421803782,2.9581116540081216
,,,-211,"(-0.047783298562375065, -0.014044824541162258, 123.8541067279203, 123.85419538173377)","(113, 90)",0.0004021233055001083,3.4274690600952957
,,,2212,"(0.02792079802880104, 0.18791531122623145, 57.27013338813877, 57.27813387867365)","(2214, 90)",0.0033172186109810676,1.4232936447999869
,,,-2212,"(0.09804789890103659, 0.5218744819809262, 20.52342389248925, 20.55172122302948)","(-2114, 90)",0.025867351096920763,1.3850847850474743
,,,211,"(0.14258930889493227, -0.19052273617992566, 7.310428101128823, 7.315631854507618)","(-2114, 90)",0.032540897928582634,5.3548723444932556
,,,2112,"(-0.49176941377631345, -0.46555976319552955, 4.100470391398029, 4.260895711592163)","(2114, 90)",0.16367143324824504,3.8996197666897414
,,,22,"(0.05515448386436235, -0.15049815576128384, 15.861654855614534, 15.862464703526301)","(111, 90)",0.010104928491707047,5.063668749752334
,,,22,"(0.06495325983181022, -0.2723452375379137, 51.326145642120125, 51.326909290648864)","(111, 90)",0.005454937000259279,4.946511423743882
,,,22,"(-0.14088875593761085, -0.11658033275507365, 1.9993424753550395, 2.0076879611368263)","(111, 90)",0.09121016771747555,3.8328568754623977
,,,22,"(-0.2501461887036425, -0.2728923886695412, 2.458088144502948, 2.485807856143083)","(111, 90)",0.14947892859974438,3.9704520023990146
,,,211,"(-1.063796810972694, -0.7583619792871689, 214.73882049766945, 214.74283989242076)","(310, 90)",0.006083764744485024,3.7609122733642057
,,,-211,"(-0.10146532327842803, -0.21700602871796726, 34.87141770554445, 34.872519831635145)","(310, 90)",0.006869571934548871,4.275020990802833
,,,22,"(-1.325952933148369, -1.263832739638944, 238.0880067235844, 238.09505322451426)","(111, 90)",0.007693565216032325,3.90300880006
,,,22,"(-0.15919610053888827, -0.11609674079490448, 30.72560416362937, 30.726235907961257)","(111, 90)",0.006412564385065739,3.771693205827273
,,,22,"(-0.08386113541200788, -0.004324987981745632, 2.1408461232267486, 2.1424923614539746)","(111, 90)",0.03920392143274985,3.193120212091455
,,,22,"(-0.019375432561417896, -0.13308760940458544, 3.620678420599943, 3.6231753952247563)","(111, 90)",0.03712806605189739,4.567820587533522
,,,22,"(-0.18970183318412487, 0.08979575662170805, 0.5752268061534866, 0.6123201302735551)","(111, 90)",0.3498571649189122,2.6994897334406636
,,,22,"(-0.007561227136018443, 0.014684902725567514, -0.002791243975356905, 0.016751404919940465)","(111, 90)",1.7382046386154846,2.046291183068451
,,,,,,,
,,,-11,"(4.5952870140931035, 3.4641548043661934, 731.3827095906126, 731.4053492555397)","(-11, -11)",0.007868139435375517,0.6459602380607031
,,,13,"(3.1881437779219097, 1.2860398506972688, 378.78300038411106, 378.79861497010694)","(13, 13)",0.009075540834075697,0.3834185000406601
,,,22,"(0.11917889543945356, 0.046186555198765175, 15.482193653725691, 15.482721244615343)","(22, 22)",0.008255459051300039,0.3697188186150147
,,,-13,"(0.4319048533328413, 0.1461867168621585, 86.40653805477895, 86.40780575275639)","(-13, -13)",0.005277029427793258,0.3263661616502464
,,,-321,"(-2.046667168984827, -0.8395155936724336, 266.52397243031703, 266.5336099498737)","(1, 2101)",0.008299834734730496,3.5308496819636748
,,,211,"(-1.1155500442898454, -0.46124088460279145, 133.36397554893134, 133.3695116923497)","(1, 2101)",0.009051247719378345,3.5336526172104694
,,,-211,"(-0.47225872321437723, 0.021076921956592325, 3.8425852458181238, 3.8740693972321107)","(1, 2101)",0.12240856835293225,3.096992218126589
,,,211,"(-0.06530568100255743, 0.18402406693397821, 0.20657934397882377, 0.3166772796410413)","(1, 2101)",0.7572578707707632,1.9118081887814689
,,,-211,"(-0.7686032023914839, -0.7553013798068399, 63.68974591316202, 63.699014476874765)","(-213, 90)",0.016917974573380123,3.918262262111374
,,,211,"(-0.3732970172132983, 0.06927201397841942, 19.56765208488931, 19.571832749519242)","(113, 90)",0.019400504421803782,2.9581116540081216
,,,-211,"(-0.047783298562375065, -0.014044824541162258, 123.8541067279203, 123.85419538173377)","(113, 90)",0.0004021233055001083,3.4274690600952957
,,,2212,"(0.02792079802880104, 0.18791531122623145, 57.27013338813877, 57.27813387867365)","(2214, 90)",0.0033172186109810676,1.4232936447999869
,,,-2212,"(0.09804789890103659, 0.5218744819809262, 20.52342389248925, 20.55172122302948)","(-2114, 90)",0.025867351096920763,1.3850847850474743
,,,211,"(0.14258930889493227, -0.19052273617992566, 7.310428101128823, 7.315631854507618)","(-2114, 90)",0.032540897928582634,5.3548723444932556
,,,2112,"(-0.49176941377631345, -0.46555976319552955, 4.100470391398029, 4.260895711592163)","(2114, 90)",0.16367143324824504,3.8996197666897414
,,,22,"(0.05515448386436235, -0.15049815576128384, 15.861654855614534, 15.862464703526301)","(111, 90)",0.010104928491707047,5.063668749752334
,,,22,"(0.06495325983181022, -0.2723452375379137, 51.326145642120125, 51.326909290648864)","(111, 90)",0.005454937000259279,4.946511423743882
,,,22,"(-0.14088875593761085, -0.11658033275507365, 1.9993424753550395, 2.0076879611368263)","(111, 90)",0.09121016771747555,3.8328568754623977
,,,22,"(-0.2501461887036425, -0.2728923886695412, 2.458088144502948, 2.485807856143083)","(111, 90)",0.14947892859974438,3.9704520023990146
,,,211,"(-1.063796810972694, -0.7583619792871689, 214.73882049766945, 214.74283989242076)","(310, 90)",0.006083764744485024,3.7609122733642057
,,,-211,"(-0.10146532327842803, -0.21700602871796726, 34.87141770554445, 34.872519831635145)","(310, 90)",0.006869571934548871,4.275020990802833
,,,22,"(-1.325952933148369, -1.263832739638944, 238.0880067235844, 238.09505322451426)","(111, 90)",0.007693565216032325,3.90300880006
,,,22,"(-0.15919610053888827, -0.11609674079490448, 30.72560416362937, 30.726235907961257)","(111, 90)",0.006412564385065739,3.771693205827273
,,,22,"(-0.08386113541200788, -0.004324987981745632, 2.1408461232267486, 2.1424923614539746)","(111, 90)",0.03920392143274985,3.193120212091455
,,,22,"(-0.019375432561417896, -0.13308760940458544, 3.620678420599943, 3.6231753952247563)","(111, 90)",0.03712806605189739,4.567820587533522
,,,22,"(-0.18970183318412487, 0.08979575662170805, 0.5752268061534866, 0.6123201302735551)","(111, 90)",0.3498571649189122,2.6994897334406636
,,,22,"(-0.007561227136018443, 0.014684902725567514, -0.002791243975356905, 0.016751404919940465)","(111, 90)",1.7382046386154846,2.046291183068451
,,,,,,,
,,,-11,"(4.5952870140931035, 3.4641548043661934, 731.3827095906126, 731.4053492555397)","(-11, -11)",0.007868139435375517,0.6459602380607031
,,,13,"(3.1881437779219097, 1.2860398506972688, 378.78300038411106, 378.79861497010694)","(13, 13)",0.009075540834075697,0.3834185000406601
,,,22,"(0.11917889543945356, 0.046186555198765175, 15.482193653725691, 15.482721244615343)","(22, 22)",0.008255459051300039,0.3697188186150147
,,,-13,"(0.4319048533328413, 0.1461867168621585, 86.40653805477895, 86.40780575275639)","(-13, -13)",0.005277029427793258,0.3263661616502464
,,,-321,"(-2.046667168984827, -0.8395155936724336, 266.52397243031703, 266.5336099498737)","(1, 2101)",0.008299834734730496,3.5308496819636748
,,,211,"(-1.1155500442898454, -0.46124088460279145, 133.36397554893134, 133.3695116923497)","(1, 2101)",0.009051247719378345,3.5336526172104694
,,,-211,"(-0.47225872321437723, 0.021076921956592325, 3.8425852458181238, 3.8740693972321107)","(1, 2101)",0.12240856835293225,3.096992218126589
,,,211,"(-0.06530568100255743, 0.18402406693397821, 0.20657934397882377, 0.3166772796410413)","(1, 2101)",0.7572578707707632,1.9118081887814689
,,,-211,"(-0.7686032023914839, -0.7553013798068399, 63.68974591316202, 63.699014476874765)","(-213, 90)",0.016917974573380123,3.918262262111374
,,,211,"(-0.3732970172132983, 0.06927201397841942, 19.56765208488931, 19.571832749519242)","(113, 90)",0.019400504421803782,2.9581116540081216
,,,-211,"(-0.047783298562375065, -0.014044824541162258, 123.8541067279203, 123.85419538173377)","(113, 90)",0.0004021233055001083,3.4274690600952957
,,,2212,"(0.02792079802880104, 0.18791531122623145, 57.27013338813877, 57.27813387867365)","(2214, 90)",0.0033172186109810676,1.4232936447999869
,,,-2212,"(0.09804789890103659, 0.5218744819809262, 20.52342389248925, 20.55172122302948)","(-2114, 90)",0.025867351096920763,1.3850847850474743
,,,211,"(0.14258930889493227, -0.19052273617992566, 7.310428101128823, 7.315631854507618)","(-2114, 90)",0.032540897928582634,5.3548723444932556
,,,2112,"(-0.49176941377631345, -0.46555976319552955, 4.100470391398029, 4.260895711592163)","(2114, 90)",0.16367143324824504,3.8996197666897414
,,,22,"(0.05515448386436235, -0.15049815576128384, 15.861654855614534, 15.862464703526301)","(111, 90)",0.010104928491707047,5.063668749752334
,,,22,"(0.06495325983181022, -0.2723452375379137, 51.326145642120125, 51.326909290648864)","(111, 90)",0.005454937000259279,4.946511423743882
,,,22,"(-0.14088875593761085, -0.11658033275507365, 1.9993424753550395, 2.0076879611368263)","(111, 90)",0.09121016771747555,3.8328568754623977
,,,22,"(-0.2501461887036425, -0.2728923886695412, 2.458088144502948, 2.485807856143083)","(111, 90)",0.14947892859974438,3.9704520023990146
,,,211,"(-1.063796810972694, -0.7583619792871689, 214.73882049766945, 214.74283989242076)","(310, 90)",0.006083764744485024,3.7609122733642057
,,,-211,"(-0.10146532327842803, -0.21700602871796726, 34.87141770554445, 34.872519831635145)","(310, 90)",0.006869571934548871,4.275020990802833
,,,22,"(-1.325952933148369, -1.263832739638944, 238.0880067235844, 238.09505322451426)","(111, 90)",0.007693565216032325,3.90300880006
,,,22,"(-0.15919610053888827, -0.11609674079490448, 30.72560416362937, 30.726235907961257)","(111, 90)",0.006412564385065739,3.771693205827273
,,,22,"(-0.08386113541200788, -0.004324987981745632, 2.1408461232267486, 2.1424923614539746)","(111, 90)",0.03920392143274985,3.193120212091455
,,,22,"(-0.019375432561417896, -0.13308760940458544, 3.620678420599943, 3.6231753952247563)","(111, 90)",0.03712806605189739,4.567820587533522
,,,22,"(-0.18970183318412487, 0.08979575662170805, 0.5752268061534866, 0.6123201302735551)","(111, 90)",0.3498571649189122,2.6994897334406636
,,,22,"(-0.007561227136018443, 0.014684902725567514, -0.002791243975356905, 0.016751404919940465)","(111, 90)",1.7382046386154846,2.046291183068451
,,,,,,,
,,,-11,"(4.5952870140931035, 3.4641548043661934, 731.3827095906126, 731.4053492555397)","(-11, -11)",0.007868139435375517,0.6459602380607031
,,,13,"(3.1881437779219097, 1.2860398506972688, 378.78300038411106, 378.79861497010694)","(13, 13)",0.009075540834075697,0.3834185000406601
,,,22,"(0.11917889543945356, 0.046186555198765175, 15.482193653725691, 15.482721244615343)","(22, 22)",0.008255459051300039,0.3697188186150147
,,,-13,"(0.4319048533328413, 0.1461867168621585, 86.40653805477895, 86.40780575275639)","(-13, -13)",0.005277029427793258,0.3263661616502464
