Energy,Cross_section_pb,Total_events,pid,momentum,parent_pids,theta,phi
28.37082,0.06292942543055793,988456.0,,,,,
,,,-11,"(0.10305727719223817, -1.463492030826717, 18.73348379598401, 18.7908447155042)","(-11, 90)",0.07815565573847344,4.7826916764382945
,,,22,"(-0.0010553775250514358, -0.0008865184864292022, 0.004512863607097018, 0.004718651786625619)","(22, 22)",0.29641991429377645,3.840253236836675
,,,211,"(-0.10018739333602683, 0.13682581926688242, 0.17162946692581663, 0.27873872608369515)","(3214, 90)",0.7794042947542462,2.2028245567789675
,,,13,"(-0.05569215995343413, 0.3081222546771204, 0.3915387126365327, 0.5123548961419847)","(223, 90)",0.6745601560540825,1.7496126859121657
,,,-13,"(0.10951371609193902, 0.22943531495511615, 0.4725677562606002, 0.546916938499803)","(223, 90)",0.4935676915053338,1.125458018191366
,,,2112,"(-0.1811152586680978, 0.7311174486905053, 2.901749738005307, 3.1416999837056356)","(3112, 90)",0.25396833128247326,1.8136316244333368
,,,-211,"(-0.24902438104112168, 0.11357900101159821, 0.49511448915187095, 0.582693293330054)","(3112, 90)",0.5049961198775322,2.713680946973945
,,,22,"(0.09516528415494416, 0.0400694889390161, 0.2417131556817816, 0.26284452606392683)","(111, 90)",0.4037223672011302,0.3985215139232507
,,,22,"(0.2793382930846097, -0.09477077822709262, 0.4897125781540911, 0.5716902934207635)","(111, 90)",0.5421434729126057,5.956102343979535
,,,,,,,
,,,-11,"(0.10305727719223817, -1.463492030826717, 18.73348379598401, 18.7908447155042)","(-11, 90)",0.07815565573847344,4.7826916764382945
,,,22,"(-0.0010553775250514358, -0.0008865184864292022, 0.004512863607097018, 0.004718651786625619)","(22, 22)",0.29641991429377645,3.840253236836675
,,,211,"(-0.10018739333602683, 0.13682581926688242, 0.17162946692581663, 0.27873872608369515)","(3214, 90)",0.7794042947542462,2.2028245567789675
,,,13,"(-0.05569215995343413, 0.3081222546771204, 0.3915387126365327, 0.5123548961419847)","(223, 90)",0.6745601560540825,1.7496126859121657
,,,-13,"(0.10951371609193902, 0.22943531495511615, 0.4725677562606002, 0.546916938499803)","(223, 90)",0.4935676915053338,1.125458018191366
,,,2112,"(-0.1811152586680978, 0.7311174486905053, 2.901749738005307, 3.1416999837056356)","(3112, 90)",0.25396833128247326,1.8136316244333368
,,,-211,"(-0.24902438104112168, 0.11357900101159821, 0.49511448915187095, 0.582693293330054)","(3112, 90)",0.5049961198775322,2.713680946973945
,,,22,"(0.09516528415494416, 0.0400694889390161, 0.2417131556817816, 0.26284452606392683)","(111, 90)",0.4037223672011302,0.3985215139232507
,,,22,"(0.2793382930846097, -0.09477077822709262, 0.4897125781540911, 0.5716902934207635)","(111, 90)",0.5421434729126057,5.956102343979535
,,,,,,,
,,,-11,"(0.10305727719223817, -1.463492030826717, 18.73348379598401, 18.7908447155042)","(-11, 90)",0.07815565573847344,4.7826916764382945
