Events for energy 2253.574373 GeV:
Cross section pb: 7.10274700084563
Total number of events: 999976

pid = 2212, p = (0.48899277964557375, 0.29064611994554523, 1.6448701344100543, 1.9772550309858465), Parent_PIDs = (2114, 90), theta = 0.33295697404668434, phi = 0.5362747714193304
pid = -211, p = (0.11237268414799223, -0.10280325571670398, 0.05338894896691304, 0.21336891596566823), Parent_PIDs = (2114, 90), theta = 1.2336361875058999, phi = 5.542230435518638
pid = 321, p = (0.2722044896022153, -0.5583819190075096, 42.62838005951409, 42.6357642372271), Parent_PIDs = (313, 90), theta = 0.014571348576284147, phi = 5.165976987457373
pid = -211, p = (0.12552249352110084, -0.01472640758868371, 43.086496581526134, 43.086907990922526), Parent_PIDs = (313, 90), theta = 0.002933240022686131, phi = 6.166398314881597
pid = -321, p = (0.26349273520766264, -2.2158906500452034, 147.3524229228604, 147.37014575881506), Parent_PIDs = (-323, 90), theta = 0.015142819363012537, phi = 4.830743765639486
pid = 22, p = (0.07429407129116203, -0.46801505225479956, 18.669793657082508, 18.67580661969395), Parent_PIDs = (221, 90), theta = 0.02537647052878002, phi = 4.869818290923101
pid = 22, p = (0.5144732614617004, -0.7230120472417796, 70.16109882882289, 70.16671018385476), Parent_PIDs = (221, 90), theta = 0.012646961850044169, phi = 5.330837525775083
pid = 321, p = (-0.018035458761713474, -1.0689559590570112, 47.646343350298, 47.66089326394399), Parent_PIDs = (333, 90), theta = 0.02243464343850445, phi = 4.695518549433986
pid = -321, p = (-0.25370779006403754, -1.524190443901828, 68.63985711430513, 68.65902146671363), Parent_PIDs = (333, 90), theta = 0.02250734004126599, phi = 4.547447105227373
pid = 22, p = (-0.10020916904489799, -0.07649561050148809, 5.443710140681692, 5.445169744989349), Parent_PIDs = (111, 90), theta = 0.02315456126494686, phi = 3.79358909213416
pid = 22, p = (-0.08736913928884305, -0.32327328991149706, 16.526156505969443, 16.529548930514302), Parent_PIDs = (111, 90), theta = 0.02026035370260138, phi = 4.448431080411057
pid = 22, p = (0.017766724303431645, 0.010851332232730892, 1.986890873996776, 1.9869999378649654), Parent_PIDs = (111, 90), theta = 0.010477520180463466, phi = 0.5482989567798152
pid = 22, p = (-0.1042308817395001, -0.1785761467324438, 10.056122323727559, 10.058247844762123), Parent_PIDs = (111, 90), theta = 0.020558630605545622, phi = 4.184057770933067
pid = 22, p = (-0.03985889237178025, -0.13951440952547614, 5.834807347399136, 5.836611155716072), Parent_PIDs = (111, 90), theta = 0.024862282419344777, phi = 4.434105010251934
pid = 22, p = (0.1106174465517015, -0.45829209677179006, 20.589404137699056, 20.594801057814184), Parent_PIDs = (111, 90), theta = 0.022893841754610452, phi = 4.949227877880093
pid = 22, p = (-0.10717110770507443, -0.3961242175218993, 15.528974338851809, 15.5343955163615), Parent_PIDs = (221, 90), theta = 0.026419662378285812, phi = 4.448165291732612
pid = 13, p = (0.06715361688132089, -0.3163208454221952, 33.2358047576385, 33.23754579401097), Parent_PIDs = (221, 90), theta = 0.009729275614213488, phi = 4.921579078329485
pid = -13, p = (0.022457908428296577, -0.12718125949364356, 9.527042600817374, 9.528503774665069), Parent_PIDs = (221, 90), theta = 0.013555199072337615, phi = 4.887169127202785

pid = -11, p = (-0.35112143358455394, 11.60093570743085, 737.4625880364504, 737.5539124357143), Parent_PIDs = (-11, -11), theta = 0.01573678477531904, phi = 1.601053737409314
pid = 2212, p = (0.11175035312733572, -1.2022222537997647, 130.55210468768797, 130.56105933802357), Parent_PIDs = (2, -2), theta = 0.009248188201130075, phi = 4.805075802051201
pid = -2112, p = (-1.1193946916110993, -2.0084572951162682, 251.48623871320956, 251.49850496391474), Parent_PIDs = (2, -2), theta = 0.009142733844117935, phi = 4.203927505203744
pid = 2212, p = (0.48899277964557375, 0.29064611994554523, 1.6448701344100543, 1.9772550309858465), Parent_PIDs = (2114, 90), theta = 0.33295697404668434, phi = 0.5362747714193304
pid = -211, p = (0.11237268414799223, -0.10280325571670398, 0.05338894896691304, 0.21336891596566823), Parent_PIDs = (2114, 90), theta = 1.2336361875058999, phi = 5.542230435518638
pid = 321, p = (0.2722044896022153, -0.5583819190075096, 42.62838005951409, 42.6357642372271), Parent_PIDs = (313, 90), theta = 0.014571348576284147, phi = 5.165976987457373
pid = -211, p = (0.12552249352110084, -0.01472640758868371, 43.086496581526134, 43.086907990922526), Parent_PIDs = (313, 90), theta = 0.002933240022686131, phi = 6.166398314881597
pid = -321, p = (0.26349273520766264, -2.2158906500452034, 147.3524229228604, 147.37014575881506), Parent_PIDs = (-323, 90), theta = 0.015142819363012537, phi = 4.830743765639486
pid = 22, p = (0.07429407129116203, -0.46801505225479956, 18.669793657082508, 18.67580661969395), Parent_PIDs = (221, 90), theta = 0.02537647052878002, phi = 4.869818290923101
pid = 22, p = (0.5144732614617004, -0.7230120472417796, 70.16109882882289, 70.16671018385476), Parent_PIDs = (221, 90), theta = 0.012646961850044169, phi = 5.330837525775083
pid = 321, p = (-0.018035458761713474, -1.0689559590570112, 47.646343350298, 47.66089326394399), Parent_PIDs = (333, 90), theta = 0.02243464343850445, phi = 4.695518549433986
pid = -321, p = (-0.25370779006403754, -1.524190443901828, 68.63985711430513, 68.65902146671363), Parent_PIDs = (333, 90), theta = 0.02250734004126599, phi = 4.547447105227373
pid = 22, p = (-0.10020916904489799, -0.07649561050148809, 5.443710140681692, 5.445169744989349), Parent_PIDs = (111, 90), theta = 0.02315456126494686, phi = 3.79358909213416
pid = 22, p = (-0.08736913928884305, -0.32327328991149706, 16.526156505969443, 16.529548930514302), Parent_PIDs = (111, 90), theta = 0.02026035370260138, phi = 4.448431080411057
pid = 22, p = (0.017766724303431645, 0.010851332232730892, 1.986890873996776, 1.9869999378649654), Parent_PIDs = (111, 90), theta = 0.010477520180463466, phi = 0.5482989567798152
pid = 22, p = (-0.1042308817395001, -0.1785761467324438, 10.056122323727559, 10.058247844762123), Parent_PIDs = (111, 90), theta = 0.020558630605545622, phi = 4.184057770933067
pid = 22, p = (-0.03985889237178025, -0.13951440952547614, 5.834807347399136, 5.836611155716072), Parent_PIDs = (111, 90), theta = 0.024862282419344777, phi = 4.434105010251934
pid = 22, p = (0.1106174465517015, -0.45829209677179006, 20.589404137699056, 20.594801057814184), Parent_PIDs = (111, 90), theta = 0.022893841754610452, phi = 4.949227877880093
pid = 22, p = (-0.10717110770507443, -0.3961242175218993, 15.528974338851809, 15.5343955163615), Parent_PIDs = (221, 90), theta = 0.026419662378285812, phi = 4.448165291732612
pid = 13, p = (0.06715361688132089, -0.3163208454221952, 33.2358047576385, 33.23754579401097), Parent_PIDs = (221, 90), theta = 0.009729275614213488, phi = 4.921579078329485
pid = -13, p = (0.022457908428296577, -0.12718125949364356, 9.527042600817374, 9.528503774665069), Parent_PIDs = (221, 90), theta = 0.013555199072337615, phi = 4.887169127202785

pid = -11, p = (-0.35112143358455394, 11.60093570743085, 737.4625880364504, 737.5539124357143), Parent_PIDs = (-11, -11), theta = 0.01573678477531904, phi = 1.601053737409314
pid = 2212, p = (0.11175035312733572, -1.2022222537997647, 130.55210468768797, 130.56105933802357), Parent_PIDs = (2, -2), theta = 0.009248188201130075, phi = 4.805075802051201
pid = -2112, p = (-1.1193946916110993, -2.0084572951162682, 251.48623871320956, 251.49850496391474), Parent_PIDs = (2, -2), theta = 0.009142733844117935, phi = 4.203927505203744
pid = 2212, p = (0.48899277964557375, 0.29064611994554523, 1.6448701344100543, 1.9772550309858465), Parent_PIDs = (2114, 90), theta = 0.33295697404668434, phi = 0.5362747714193304
pid = -211, p = (0.11237268414799223, -0.10280325571670398, 0.05338894896691304, 0.21336891596566823), Parent_PIDs = (2114, 90), theta = 1.2336361875058999, phi = 5.542230435518638
pid = 321, p = (0.2722044896022153, -0.5583819190075096, 42.62838005951409, 42.6357642372271), Parent_PIDs = (313, 90), theta = 0.014571348576284147, phi = 5.165976987457373
pid = -211, p = (0.12552249352110084, -0.01472640758868371, 43.086496581526134, 43.086907990922526), Parent_PIDs = (313, 90), theta = 0.002933240022686131, phi = 6.166398314881597
pid = -321, p = (0.26349273520766264, -2.2158906500452034, 147.3524229228604, 147.37014575881506), Parent_PIDs = (-323, 90), theta = 0.015142819363012537, phi = 4.830743765639486
pid = 22, p = (0.07429407129116203, -0.46801505225479956, 18.669793657082508, 18.67580661969395), Parent_PIDs = (221, 90), theta = 0.02537647052878002, phi = 4.869818290923101
pid = 22, p = (0.5144732614617004, -0.7230120472417796, 70.16109882882289, 70.16671018385476), Parent_PIDs = (221, 90), theta = 0.012646961850044169, phi = 5.330837525775083
pid = 321, p = (-0.018035458761713474, -1.0689559590570112, 47.646343350298, 47.66089326394399), Parent_PIDs = (333, 90), theta = 0.02243464343850445, phi = 4.695518549433986
pid = -321, p = (-0.25370779006403754, -1.524190443901828, 68.63985711430513, 68.65902146671363), Parent_PIDs = (333, 90), theta = 0.02250734004126599, phi = 4.547447105227373
pid = 22, p = (-0.10020916904489799, -0.07649561050148809, 5.443710140681692, 5.445169744989349), Parent_PIDs = (111, 90), theta = 0.02315456126494686, phi = 3.79358909213416
pid = 22, p = (-0.08736913928884305, -0.32327328991149706, 16.526156505969443, 16.529548930514302), Parent_PIDs = (111, 90), theta = 0.02026035370260138, phi = 4.448431080411057
pid = 22, p = (0.017766724303431645, 0.010851332232730892, 1.986890873996776, 1.9869999378649654), Parent_PIDs = (111, 90), theta = 0.010477520180463466, phi = 0.5482989567798152
pid = 22, p = (-0.1042308817395001, -0.1785761467324438, 10.056122323727559, 10.058247844762123), Parent_PIDs = (111, 90), theta = 0.020558630605545622, phi = 4.184057770933067
pid = 22, p = (-0.03985889237178025, -0.13951440952547614, 5.834807347399136, 5.836611155716072), Parent_PIDs = (111, 90), theta = 0.024862282419344777, phi = 4.434105010251934
pid = 22, p = (0.1106174465517015, -0.45829209677179006, 20.589404137699056, 20.594801057814184), Parent_PIDs = (111, 90), theta = 0.022893841754610452, phi = 4.949227877880093
pid = 22, p = (-0.10717110770507443, -0.3961242175218993, 15.528974338851809, 15.5343955163615), Parent_PIDs = (221, 90), theta = 0.026419662378285812, phi = 4.448165291732612
pid = 13, p = (0.06715361688132089, -0.3163208454221952, 33.2358047576385, 33.23754579401097), Parent_PIDs = (221, 90), theta = 0.009729275614213488, phi = 4.921579078329485
pid = -13, p = (0.022457908428296577, -0.12718125949364356, 9.527042600817374, 9.528503774665069), Parent_PIDs = (221, 90), theta = 0.013555199072337615, phi = 4.887169127202785

pid = -11, p = (-0.35112143358455394, 11.60093570743085, 737.4625880364504, 737.5539124357143), Parent_PIDs = (-11, -11), theta = 0.01573678477531904, phi = 1.601053737409314
pid = 2212, p = (0.11175035312733572, -1.2022222537997647, 130.55210468768797, 130.56105933802357), Parent_PIDs = (2, -2), theta = 0.009248188201130075, phi = 4.805075802051201
pid = -2112, p = (-1.1193946916110993, -2.0084572951162682, 251.48623871320956, 251.49850496391474), Parent_PIDs = (2, -2), theta = 0.009142733844117935, phi = 4.203927505203744
pid = 2212, p = (0.48899277964557375, 0.29064611994554523, 1.6448701344100543, 1.9772550309858465), Parent_PIDs = (2114, 90), theta = 0.33295697404668434, phi = 0.5362747714193304
pid = -211, p = (0.11237268414799223, -0.10280325571670398, 0.05338894896691304, 0.21336891596566823), Parent_PIDs = (2114, 90), theta = 1.2336361875058999, phi = 5.542230435518638
pid = 321, p = (0.2722044896022153, -0.5583819190075096, 42.62838005951409, 42.6357642372271), Parent_PIDs = (313, 90), theta = 0.014571348576284147, phi = 5.165976987457373
pid = -211, p = (0.12552249352110084, -0.01472640758868371, 43.086496581526134, 43.086907990922526), Parent_PIDs = (313, 90), theta = 0.002933240022686131, phi = 6.166398314881597
pid = -321, p = (0.26349273520766264, -2.2158906500452034, 147.3524229228604, 147.37014575881506), Parent_PIDs = (-323, 90), theta = 0.015142819363012537, phi = 4.830743765639486
pid = 22, p = (0.07429407129116203, -0.46801505225479956, 18.669793657082508, 18.67580661969395), Parent_PIDs = (221, 90), theta = 0.02537647052878002, phi = 4.869818290923101
pid = 22, p = (0.5144732614617004, -0.7230120472417796, 70.16109882882289, 70.16671018385476), Parent_PIDs = (221, 90), theta = 0.012646961850044169, phi = 5.330837525775083
pid = 321, p = (-0.018035458761713474, -1.0689559590570112, 47.646343350298, 47.66089326394399), Parent_PIDs = (333, 90), theta = 0.02243464343850445, phi = 4.695518549433986
pid = -321, p = (-0.25370779006403754, -1.524190443901828, 68.63985711430513, 68.65902146671363), Parent_PIDs = (333, 90), theta = 0.02250734004126599, phi = 4.547447105227373
pid = 22, p = (-0.10020916904489799, -0.07649561050148809, 5.443710140681692, 5.445169744989349), Parent_PIDs = (111, 90), theta = 0.02315456126494686, phi = 3.79358909213416
pid = 22, p = (-0.08736913928884305, -0.32327328991149706, 16.526156505969443, 16.529548930514302), Parent_PIDs = (111, 90), theta = 0.02026035370260138, phi = 4.448431080411057
pid = 22, p = (0.017766724303431645, 0.010851332232730892, 1.986890873996776, 1.9869999378649654), Parent_PIDs = (111, 90), theta = 0.010477520180463466, phi = 0.5482989567798152
pid = 22, p = (-0.1042308817395001, -0.1785761467324438, 10.056122323727559, 10.058247844762123), Parent_PIDs = (111, 90), theta = 0.020558630605545622, phi = 4.184057770933067
pid = 22, p = (-0.03985889237178025, -0.13951440952547614, 5.834807347399136, 5.836611155716072), Parent_PIDs = (111, 90), theta = 0.024862282419344777, phi = 4.434105010251934
pid = 22, p = (0.1106174465517015, -0.45829209677179006, 20.589404137699056, 20.594801057814184), Parent_PIDs = (111, 90), theta = 0.022893841754610452, phi = 4.949227877880093
pid = 22, p = (-0.10717110770507443, -0.3961242175218993, 15.528974338851809, 15.5343955163615), Parent_PIDs = (221, 90), theta = 0.026419662378285812, phi = 4.448165291732612
pid = 13, p = (0.06715361688132089, -0.3163208454221952, 33.2358047576385, 33.23754579401097), Parent_PIDs = (221, 90), theta = 0.009729275614213488, phi = 4.921579078329485
pid = -13, p = (0.022457908428296577, -0.12718125949364356, 9.527042600817374, 9.528503774665069), Parent_PIDs = (221, 90), theta = 0.013555199072337615, phi = 4.887169127202785

pid = -11, p = (-0.35112143358455394, 11.60093570743085, 737.4625880364504, 737.5539124357143), Parent_PIDs = (-11, -11), theta = 0.01573678477531904, phi = 1.601053737409314
pid = 2212, p = (0.11175035312733572, -1.2022222537997647, 130.55210468768797, 130.56105933802357), Parent_PIDs = (2, -2), theta = 0.009248188201130075, phi = 4.805075802051201
pid = -2112, p = (-1.1193946916110993, -2.0084572951162682, 251.48623871320956, 251.49850496391474), Parent_PIDs = (2, -2), theta = 0.009142733844117935, phi = 4.203927505203744
pid = 2212, p = (0.48899277964557375, 0.29064611994554523, 1.6448701344100543, 1.9772550309858465), Parent_PIDs = (2114, 90), theta = 0.33295697404668434, phi = 0.5362747714193304
pid = -211, p = (0.11237268414799223, -0.10280325571670398, 0.05338894896691304, 0.21336891596566823), Parent_PIDs = (2114, 90), theta = 1.2336361875058999, phi = 5.542230435518638
pid = 321, p = (0.2722044896022153, -0.5583819190075096, 42.62838005951409, 42.6357642372271), Parent_PIDs = (313, 90), theta = 0.014571348576284147, phi = 5.165976987457373
pid = -211, p = (0.12552249352110084, -0.01472640758868371, 43.086496581526134, 43.086907990922526), Parent_PIDs = (313, 90), theta = 0.002933240022686131, phi = 6.166398314881597
pid = -321, p = (0.26349273520766264, -2.2158906500452034, 147.3524229228604, 147.37014575881506), Parent_PIDs = (-323, 90), theta = 0.015142819363012537, phi = 4.830743765639486
pid = 22, p = (0.07429407129116203, -0.46801505225479956, 18.669793657082508, 18.67580661969395), Parent_PIDs = (221, 90), theta = 0.02537647052878002, phi = 4.869818290923101
pid = 22, p = (0.5144732614617004, -0.7230120472417796, 70.16109882882289, 70.16671018385476), Parent_PIDs = (221, 90), theta = 0.012646961850044169, phi = 5.330837525775083
pid = 321, p = (-0.018035458761713474, -1.0689559590570112, 47.646343350298, 47.66089326394399), Parent_PIDs = (333, 90), theta = 0.02243464343850445, phi = 4.695518549433986
pid = -321, p = (-0.25370779006403754, -1.524190443901828, 68.63985711430513, 68.65902146671363), Parent_PIDs = (333, 90), theta = 0.02250734004126599, phi = 4.547447105227373
pid = 22, p = (-0.10020916904489799, -0.07649561050148809, 5.443710140681692, 5.445169744989349), Parent_PIDs = (111, 90), theta = 0.02315456126494686, phi = 3.79358909213416
pid = 22, p = (-0.08736913928884305, -0.32327328991149706, 16.526156505969443, 16.529548930514302), Parent_PIDs = (111, 90), theta = 0.02026035370260138, phi = 4.448431080411057
pid = 22, p = (0.017766724303431645, 0.010851332232730892, 1.986890873996776, 1.9869999378649654), Parent_PIDs = (111, 90), theta = 0.010477520180463466, phi = 0.5482989567798152
pid = 22, p = (-0.1042308817395001, -0.1785761467324438, 10.056122323727559, 10.058247844762123), Parent_PIDs = (111, 90), theta = 0.020558630605545622, phi = 4.184057770933067
pid = 22, p = (-0.03985889237178025, -0.13951440952547614, 5.834807347399136, 5.836611155716072), Parent_PIDs = (111, 90), theta = 0.024862282419344777, phi = 4.434105010251934
pid = 22, p = (0.1106174465517015, -0.45829209677179006, 20.589404137699056, 20.594801057814184), Parent_PIDs = (111, 90), theta = 0.022893841754610452, phi = 4.949227877880093
pid = 22, p = (-0.10717110770507443, -0.3961242175218993, 15.528974338851809, 15.5343955163615), Parent_PIDs = (221, 90), theta = 0.026419662378285812, phi = 4.448165291732612
pid = 13, p = (0.06715361688132089, -0.3163208454221952, 33.2358047576385, 33.23754579401097), Parent_PIDs = (221, 90), theta = 0.009729275614213488, phi = 4.921579078329485
pid = -13, p = (0.022457908428296577, -0.12718125949364356, 9.527042600817374, 9.528503774665069), Parent_PIDs = (221, 90), theta = 0.013555199072337615, phi = 4.887169127202785

pid = -11, p = (-0.35112143358455394, 11.60093570743085, 737.4625880364504, 737.5539124357143), Parent_PIDs = (-11, -11), theta = 0.01573678477531904, phi = 1.601053737409314
pid = 2212, p = (0.11175035312733572, -1.2022222537997647, 130.55210468768797, 130.56105933802357), Parent_PIDs = (2, -2), theta = 0.009248188201130075, phi = 4.805075802051201
pid = -2112, p = (-1.1193946916110993, -2.0084572951162682, 251.48623871320956, 251.49850496391474), Parent_PIDs = (2, -2), theta = 0.009142733844117935, phi = 4.203927505203744
pid = 2212, p = (0.48899277964557375, 0.29064611994554523, 1.6448701344100543, 1.9772550309858465), Parent_PIDs = (2114, 90), theta = 0.33295697404668434, phi = 0.5362747714193304
pid = -211, p = (0.11237268414799223, -0.10280325571670398, 0.05338894896691304, 0.21336891596566823), Parent_PIDs = (2114, 90), theta = 1.2336361875058999, phi = 5.542230435518638
pid = 321, p = (0.2722044896022153, -0.5583819190075096, 42.62838005951409, 42.6357642372271), Parent_PIDs = (313, 90), theta = 0.014571348576284147, phi = 5.165976987457373
pid = -211, p = (0.12552249352110084, -0.01472640758868371, 43.086496581526134, 43.086907990922526), Parent_PIDs = (313, 90), theta = 0.002933240022686131, phi = 6.166398314881597
pid = -321, p = (0.26349273520766264, -2.2158906500452034, 147.3524229228604, 147.37014575881506), Parent_PIDs = (-323, 90), theta = 0.015142819363012537, phi = 4.830743765639486
pid = 22, p = (0.07429407129116203, -0.46801505225479956, 18.669793657082508, 18.67580661969395), Parent_PIDs = (221, 90), theta = 0.02537647052878002, phi = 4.869818290923101
pid = 22, p = (0.5144732614617004, -0.7230120472417796, 70.16109882882289, 70.16671018385476), Parent_PIDs = (221, 90), theta = 0.012646961850044169, phi = 5.330837525775083
pid = 321, p = (-0.018035458761713474, -1.0689559590570112, 47.646343350298, 47.66089326394399), Parent_PIDs = (333, 90), theta = 0.02243464343850445, phi = 4.695518549433986
pid = -321, p = (-0.25370779006403754, -1.524190443901828, 68.63985711430513, 68.65902146671363), Parent_PIDs = (333, 90), theta = 0.02250734004126599, phi = 4.547447105227373
pid = 22, p = (-0.10020916904489799, -0.07649561050148809, 5.443710140681692, 5.445169744989349), Parent_PIDs = (111, 90), theta = 0.02315456126494686, phi = 3.79358909213416
pid = 22, p = (-0.08736913928884305, -0.32327328991149706, 16.526156505969443, 16.529548930514302), Parent_PIDs = (111, 90), theta = 0.02026035370260138, phi = 4.448431080411057
pid = 22, p = (0.017766724303431645, 0.010851332232730892, 1.986890873996776, 1.9869999378649654), Parent_PIDs = (111, 90), theta = 0.010477520180463466, phi = 0.5482989567798152
pid = 22, p = (-0.1042308817395001, -0.1785761467324438, 10.056122323727559, 10.058247844762123), Parent_PIDs = (111, 90), theta = 0.020558630605545622, phi = 4.184057770933067
pid = 22, p = (-0.03985889237178025, -0.13951440952547614, 5.834807347399136, 5.836611155716072), Parent_PIDs = (111, 90), theta = 0.024862282419344777, phi = 4.434105010251934
pid = 22, p = (0.1106174465517015, -0.45829209677179006, 20.589404137699056, 20.594801057814184), Parent_PIDs = (111, 90), theta = 0.022893841754610452, phi = 4.949227877880093
pid = 22, p = (-0.10717110770507443, -0.3961242175218993, 15.528974338851809, 15.5343955163615), Parent_PIDs = (221, 90), theta = 0.026419662378285812, phi = 4.448165291732612
pid = 13, p = (0.06715361688132089, -0.3163208454221952, 33.2358047576385, 33.23754579401097), Parent_PIDs = (221, 90), theta = 0.009729275614213488, phi = 4.921579078329485
pid = -13, p = (0.022457908428296577, -0.12718125949364356, 9.527042600817374, 9.528503774665069), Parent_PIDs = (221, 90), theta = 0.013555199072337615, phi = 4.887169127202785

pid = -11, p = (-0.35112143358455394, 11.60093570743085, 737.4625880364504, 737.5539124357143), Parent_PIDs = (-11, -11), theta = 0.01573678477531904, phi = 1.601053737409314
pid = 2212, p = (0.11175035312733572, -1.2022222537997647, 130.55210468768797, 130.56105933802357), Parent_PIDs = (2, -2), theta = 0.009248188201130075, phi = 4.805075802051201
pid = -2112, p = (-1.1193946916110993, -2.0084572951162682, 251.48623871320956, 251.49850496391474), Parent_PIDs = (2, -2), theta = 0.009142733844117935, phi = 4.203927505203744
pid = 2212, p = (0.48899277964557375, 0.29064611994554523, 1.6448701344100543, 1.9772550309858465), Parent_PIDs = (2114, 90), theta = 0.33295697404668434, phi = 0.5362747714193304
pid = -211, p = (0.11237268414799223, -0.10280325571670398, 0.05338894896691304, 0.21336891596566823), Parent_PIDs = (2114, 90), theta = 1.2336361875058999, phi = 5.542230435518638
pid = 321, p = (0.2722044896022153, -0.5583819190075096, 42.62838005951409, 42.6357642372271), Parent_PIDs = (313, 90), theta = 0.014571348576284147, phi = 5.165976987457373
pid = -211, p = (0.12552249352110084, -0.01472640758868371, 43.086496581526134, 43.086907990922526), Parent_PIDs = (313, 90), theta = 0.002933240022686131, phi = 6.166398314881597
pid = -321, p = (0.26349273520766264, -2.2158906500452034, 147.3524229228604, 147.37014575881506), Parent_PIDs = (-323, 90), theta = 0.015142819363012537, phi = 4.830743765639486
pid = 22, p = (0.07429407129116203, -0.46801505225479956, 18.669793657082508, 18.67580661969395), Parent_PIDs = (221, 90), theta = 0.02537647052878002, phi = 4.869818290923101
pid = 22, p = (0.5144732614617004, -0.7230120472417796, 70.16109882882289, 70.16671018385476), Parent_PIDs = (221, 90), theta = 0.012646961850044169, phi = 5.330837525775083
pid = 321, p = (-0.018035458761713474, -1.0689559590570112, 47.646343350298, 47.66089326394399), Parent_PIDs = (333, 90), theta = 0.02243464343850445, phi = 4.695518549433986
pid = -321, p = (-0.25370779006403754, -1.524190443901828, 68.63985711430513, 68.65902146671363), Parent_PIDs = (333, 90), theta = 0.02250734004126599, phi = 4.547447105227373
