Events for energy 89.716412 GeV:
Cross section pb: 0.0917013117148437
Total number of events: 996240

pid = -12, p = (-3.2368160338030467, 0.5032197481285056, 42.4753351880423, 42.60145898309277), Parent_PIDs = (-12, 1), theta = 0.07696769499692921, phi = 2.987359838479057
pid = -211, p = (-0.14931271117041744, 0.2672243336207224, 0.7419469413214506, 0.8146583202989649), Parent_PIDs = (1, 2203), theta = 0.39130072056430093, phi = 2.080335737306515
pid = 2212, p = (0.42308991484424596, -0.10281085846641044, 4.85590095410572, 4.964846404235115), Parent_PIDs = (2224, 90), theta = 0.08942543198446751, phi = 6.044805632228045
pid = 211, p = (0.20768003335327034, -0.3106657645771872, 1.383617909470317, 1.4399730962212292), Parent_PIDs = (2224, 90), theta = 0.26378806209871575, phi = 5.301659673631235
pid = 22, p = (0.05380038771931473, -0.17019527971728587, -0.007768898226797605, 0.17866524770209835), Parent_PIDs = (221, 90), theta = 1.6142930258565842, phi = 5.018559060745772
pid = 13, p = (0.028414271052485514, -0.3696817794328972, 0.45640815607157437, 0.5974482650177942), Parent_PIDs = (221, 90), theta = 0.6822380571708125, phi = 4.7890995893312835
pid = -13, p = (0.06052125166095223, -0.2892553470612815, 0.5910104068272334, 0.6691702431252026), Parent_PIDs = (221, 90), theta = 0.4636662802899004, phi = 4.918644760378676
pid = 22, p = (0.1064372434576549, -0.0728144966735465, 2.7775564609672694, 2.7805486385930576), Parent_PIDs = (111, 90), theta = 0.04639619751896583, phi = 5.683205398748431
pid = 22, p = (0.49365538467017844, -0.1141672351057751, 7.503300137732378, 7.520388470902302), Parent_PIDs = (111, 90), theta = 0.06742593571303544, phi = 6.055911918915144
pid = 22, p = (1.742763816121483, 0.5295567542803363, 20.70632968936064, 20.786287433769505), Parent_PIDs = (111, 90), theta = 0.08773969375776548, phi = 0.2949945901563253
pid = 22, p = (0.2697664420938796, 0.1295899250048425, 3.0755651027269395, 3.090091937637862), Parent_PIDs = (111, 90), theta = 0.09700298155191298, phi = 0.44782733099545646

pid = -12, p = (-3.2368160338030467, 0.5032197481285056, 42.4753351880423, 42.60145898309277), Parent_PIDs = (-12, 1), theta = 0.07696769499692921, phi = 2.987359838479057
pid = -211, p = (-0.14931271117041744, 0.2672243336207224, 0.7419469413214506, 0.8146583202989649), Parent_PIDs = (1, 2203), theta = 0.39130072056430093, phi = 2.080335737306515
pid = 2212, p = (0.42308991484424596, -0.10281085846641044, 4.85590095410572, 4.964846404235115), Parent_PIDs = (2224, 90), theta = 0.08942543198446751, phi = 6.044805632228045
pid = 211, p = (0.20768003335327034, -0.3106657645771872, 1.383617909470317, 1.4399730962212292), Parent_PIDs = (2224, 90), theta = 0.26378806209871575, phi = 5.301659673631235
pid = 22, p = (0.05380038771931473, -0.17019527971728587, -0.007768898226797605, 0.17866524770209835), Parent_PIDs = (221, 90), theta = 1.6142930258565842, phi = 5.018559060745772
pid = 13, p = (0.028414271052485514, -0.3696817794328972, 0.45640815607157437, 0.5974482650177942), Parent_PIDs = (221, 90), theta = 0.6822380571708125, phi = 4.7890995893312835
pid = -13, p = (0.06052125166095223, -0.2892553470612815, 0.5910104068272334, 0.6691702431252026), Parent_PIDs = (221, 90), theta = 0.4636662802899004, phi = 4.918644760378676
pid = 22, p = (0.1064372434576549, -0.0728144966735465, 2.7775564609672694, 2.7805486385930576), Parent_PIDs = (111, 90), theta = 0.04639619751896583, phi = 5.683205398748431
pid = 22, p = (0.49365538467017844, -0.1141672351057751, 7.503300137732378, 7.520388470902302), Parent_PIDs = (111, 90), theta = 0.06742593571303544, phi = 6.055911918915144
pid = 22, p = (1.742763816121483, 0.5295567542803363, 20.70632968936064, 20.786287433769505), Parent_PIDs = (111, 90), theta = 0.08773969375776548, phi = 0.2949945901563253
pid = 22, p = (0.2697664420938796, 0.1295899250048425, 3.0755651027269395, 3.090091937637862), Parent_PIDs = (111, 90), theta = 0.09700298155191298, phi = 0.44782733099545646

pid = -12, p = (-3.2368160338030467, 0.5032197481285056, 42.4753351880423, 42.60145898309277), Parent_PIDs = (-12, 1), theta = 0.07696769499692921, phi = 2.987359838479057
pid = -211, p = (-0.14931271117041744, 0.2672243336207224, 0.7419469413214506, 0.8146583202989649), Parent_PIDs = (1, 2203), theta = 0.39130072056430093, phi = 2.080335737306515
pid = 2212, p = (0.42308991484424596, -0.10281085846641044, 4.85590095410572, 4.964846404235115), Parent_PIDs = (2224, 90), theta = 0.08942543198446751, phi = 6.044805632228045
pid = 211, p = (0.20768003335327034, -0.3106657645771872, 1.383617909470317, 1.4399730962212292), Parent_PIDs = (2224, 90), theta = 0.26378806209871575, phi = 5.301659673631235
pid = 22, p = (0.05380038771931473, -0.17019527971728587, -0.007768898226797605, 0.17866524770209835), Parent_PIDs = (221, 90), theta = 1.6142930258565842, phi = 5.018559060745772
pid = 13, p = (0.028414271052485514, -0.3696817794328972, 0.45640815607157437, 0.5974482650177942), Parent_PIDs = (221, 90), theta = 0.6822380571708125, phi = 4.7890995893312835
pid = -13, p = (0.06052125166095223, -0.2892553470612815, 0.5910104068272334, 0.6691702431252026), Parent_PIDs = (221, 90), theta = 0.4636662802899004, phi = 4.918644760378676
pid = 22, p = (0.1064372434576549, -0.0728144966735465, 2.7775564609672694, 2.7805486385930576), Parent_PIDs = (111, 90), theta = 0.04639619751896583, phi = 5.683205398748431
pid = 22, p = (0.49365538467017844, -0.1141672351057751, 7.503300137732378, 7.520388470902302), Parent_PIDs = (111, 90), theta = 0.06742593571303544, phi = 6.055911918915144
pid = 22, p = (1.742763816121483, 0.5295567542803363, 20.70632968936064, 20.786287433769505), Parent_PIDs = (111, 90), theta = 0.08773969375776548, phi = 0.2949945901563253
pid = 22, p = (0.2697664420938796, 0.1295899250048425, 3.0755651027269395, 3.090091937637862), Parent_PIDs = (111, 90), theta = 0.09700298155191298, phi = 0.44782733099545646

pid = -12, p = (-0.08526251687234442, 0.5752113886885123, 3.5631111957864556, 3.6102491925072373), Parent_PIDs = (-12, -12), theta = 0.16177285218029408, phi = 1.7179529596388268
pid = -211, p = (-0.10452133311861926, 0.029734079123079134, 1.15844506533104, 1.1718718269623296), Parent_PIDs = (1, -4), theta = 0.09353170917296025, phi = 2.864435823549302
pid = -211, p = (0.6095372016832148, 0.32104129222588573, 11.555077408736215, 11.576437138357203), Parent_PIDs = (4, 2203), theta = 0.05954957251123458, phi = 0.48477624223071686
pid = 211, p = (-0.31121278040462197, -0.6249004858042818, 10.374843039436573, 10.3992404477294), Parent_PIDs = (4, 2203), theta = 0.06718720313812722, phi = 4.250326830139851
pid = -211, p = (0.07266617336090053, 0.3453299852926866, 0.3300569660468791, 0.5029419024392721), Parent_PIDs = (4, 2203), theta = 0.8188224588021334, phi = 1.3633968098830975
