Energy,Cross_section_pb,Total_events,pid,momentum,parent_pids,theta,phi
22.535744,0.017721339902804875,978320.0,,,,,
,,,-12,"(0.01427070375872641, 0.3582172049742397, 0.38143403714103585, 0.5234645581269428)","(-12, -12)",0.7544152591243676,1.5309792516385203
,,,13,"(0.08234500463277983, 0.369061767513858, 1.7035690635107892, 1.7482273530005907)","(-421, 90)",0.21842599250594424,1.3512721612917353
,,,-14,"(-0.11113350039470588, 0.22352014397481956, 1.291429428049528, 1.31533337116673)","(-421, 90)",0.19093773557308583,2.0321988624759832
,,,321,"(-0.6654684367700949, -0.9407810719674179, 12.459001106966584, 12.521914621634501)","(-421, 90)",0.09222919803320409,4.096742223767631
,,,-13,"(-0.022160140280885254, -0.19842341554877393, 0.4600358152326889, 0.512503571257913)","(4122, 90)",0.40947165580632205,4.601168781740971
,,,14,"(0.5599303298229344, 0.3667061188580639, 3.055279407476127, 3.1277352205088014)","(4122, 90)",0.21566446808791198,0.5798218326827841
,,,2112,"(0.33319905151191076, -0.4737394366788579, 1.5946106592974294, 1.9393363817136577)","(4122, 90)",0.34839576177818954,5.325351848143534
,,,22,"(-0.015602460366965623, 0.10949959526672415, 0.29597538314772265, 0.31596681085601425)","(111, 90)",0.35762926124696565,1.7123323370054018
,,,22,"(-0.16221721270336714, 0.12357195941466577, 0.3203566782853317, 0.3797536761808116)","(111, 90)",0.566861012169644,2.4906021654865946
,,,22,"(0.05530872153921629, 0.042247591363638974, 0.07940178518170062, 0.1055867280692632)","(111, 90)",0.7196971983611673,0.652306621302193
,,,22,"(-0.06847206074954805, 0.02011954282903957, 0.021297664964639296, 0.07447690675562048)","(111, 90)",1.2807847281580536,2.8558006375767135
,,,,,,,
,,,-12,"(0.01427070375872641, 0.3582172049742397, 0.38143403714103585, 0.5234645581269428)","(-12, -12)",0.7544152591243676,1.5309792516385203
,,,13,"(0.08234500463277983, 0.369061767513858, 1.7035690635107892, 1.7482273530005907)","(-421, 90)",0.21842599250594424,1.3512721612917353
,,,-14,"(-0.11113350039470588, 0.22352014397481956, 1.291429428049528, 1.31533337116673)","(-421, 90)",0.19093773557308583,2.0321988624759832
,,,321,"(-0.6654684367700949, -0.9407810719674179, 12.459001106966584, 12.521914621634501)","(-421, 90)",0.09222919803320409,4.096742223767631
