Events for energy 283.708205 GeV:
Cross section pb: 0.5636332143644958
Total number of events: 999504

pid = -211, p = (-0.0575484900634079, 0.06671650492922104, 0.4639004149933851, 0.49238836366183963), Parent_PIDs = (3122, 90), theta = 0.18769195612587525, phi = 2.282549980846659
pid = 211, p = (-0.062499458719728854, 0.07264862773961307, 7.326854904697139, 7.328810721040435), Parent_PIDs = (310, 90), theta = 0.013078975036620167, phi = 2.281238530310599
pid = -211, p = (-0.43857818356367223, -0.3724665185468914, 19.04706490058577, 19.056265196584636), Parent_PIDs = (310, 90), theta = 0.030200056058678666, phi = 3.8456564366643433
pid = 22, p = (0.21235190595626327, 0.019348613433084312, 3.0708249877642495, 3.078219258968136), Parent_PIDs = (-423, 90), theta = 0.06932659723107305, phi = 0.09086489645135376
pid = 22, p = (-0.037534549127694564, -0.21440022378633392, 7.1355673465581555, 7.138886303591396), Parent_PIDs = (111, 90), theta = 0.030494211450978633, phi = 4.539077648702469
pid = 22, p = (0.0014900244020197972, 0.008690220747541293, 0.03879910987229099, 0.03978832788949203), Parent_PIDs = (111, 90), theta = 0.22345345732318067, phi = 1.4009876163839092
pid = 22, p = (-0.04632163903035851, -0.05772117546189959, 2.9479787423875883, 2.94890761026999), Parent_PIDs = (111, 90), theta = 0.025099946070780935, phi = 4.036121335704959
pid = 22, p = (0.06363406467688959, 0.020762238841855293, 2.5030691233578692, 2.503963937650971), Parent_PIDs = (111, 90), theta = 0.026735010149653356, phi = 0.31538514885575125
pid = -2112, p = (-0.8937099668944233, -0.7592124594898819, 24.038502965239886, 24.085421683215706), Parent_PIDs = (-3122, 90), theta = 0.04874374624328754, phi = 3.8458001676458125
pid = 22, p = (-0.1421697684960697, 0.03583069450379124, 3.372807484822768, 3.3759926557116993), Parent_PIDs = (111, 90), theta = 0.04344249618249053, phi = 2.8947066463950617
pid = 22, p = (-0.3496754584569398, -0.09007111920360392, 6.057414494970605, 6.068167441381428), Parent_PIDs = (111, 90), theta = 0.05954072426069091, phi = 3.3936972110753048
pid = 211, p = (0.012957887048407443, 0.017514604466417883, 0.7244332273282208, 0.7380772005444651), Parent_PIDs = (223, 90), theta = 0.030065319680598536, phi = 0.9338337423898063
pid = -211, p = (0.32212334011904536, -0.17991396373834778, 7.021648921954623, 7.0327210842378785), Parent_PIDs = (223, 90), theta = 0.05249797284589182, phi = 5.773820500128572
pid = 22, p = (-0.42234754606754193, 0.06572509838985352, 8.933508361304176, 8.943727907294544), Parent_PIDs = (111, 90), theta = 0.047809353655298724, phi = 2.987212405220817
pid = 22, p = (-0.14875111077142467, 0.06966374914901366, 5.230282029549668, 5.232860598136685), Parent_PIDs = (111, 90), theta = 0.0313944294161793, phi = 2.703605222343335
pid = 22, p = (-0.07027828195315484, -0.050398328079052215, 5.782260822803327, 5.78290750845227), Parent_PIDs = (111, 90), theta = 0.014955210614758798, phi = 3.763719825771207
pid = 22, p = (0.046268050286877686, 0.014051796235147622, 1.6574596340006673, 1.6581648361355419), Parent_PIDs = (111, 90), theta = 0.029165763475121603, phi = 0.29485157075235846
pid = 2212, p = (0.05301978537475594, 0.03650608208112937, 16.016889930484542, 16.04447747450278), Parent_PIDs = (3122, 90), theta = 0.004019003895498935, phi = 0.6029911509714987
pid = -211, p = (-0.07857362491298957, 0.06598562104074898, 2.166795953312624, 2.1737093653264825), Parent_PIDs = (3122, 90), theta = 0.04731827499095035, phi = 2.443053901247688
pid = 22, p = (0.05109023290949655, -0.03745766751659585, 1.0808758344040488, 1.0827307412986753), Parent_PIDs = (111, 90), theta = 0.058543386782145934, phi = 5.650544712648914
pid = 22, p = (-0.05165026847150523, -0.04861615796100919, 4.113359360893429, 4.113970893540409), Parent_PIDs = (111, 90), theta = 0.017242474559127897, phi = 3.8967395652130037
pid = 211, p = (-0.4308415445334543, 0.10729254984081829, 31.556101304205463, 31.55953335260084), Parent_PIDs = (310, 90), theta = 0.014069255370923942, phi = 2.8975269649459787
pid = -211, p = (-0.04875938483998271, -0.16098519946137346, 10.430782190293007, 10.433071963630335), Parent_PIDs = (310, 90), theta = 0.01612465554883208, phi = 4.418291015357561
pid = 22, p = (-0.23717572576445548, -0.1445346631780333, 7.153291892033171, 7.158681965723813), Parent_PIDs = (111, 90), theta = 0.038808161458712444, phi = 3.6888945757405565
pid = 22, p = (-0.006777542378083066, -0.015044717136557596, 0.07724878400991729, 0.07899147565032963), Parent_PIDs = (111, 90), theta = 0.21044414608811574, phi = 4.28912500586046
pid = 211, p = (0.40307936055345706, 0.5825992044678386, 3.7560722921930765, 3.8248468796843738), Parent_PIDs = (310, 90), theta = 0.1864232618638086, phi = 0.9655517258372118
pid = -211, p = (0.06760770802787683, 0.21562222059638422, 3.110207419064567, 3.1215274656334464), Parent_PIDs = (310, 90), theta = 0.07252780515446196, phi = 1.2669578602086464
pid = 22, p = (0.028574049030592977, 0.015114552026793222, 3.771005393854014, 3.7711439387057393), Parent_PIDs = (111, 90), theta = 0.00857185802028559, phi = 0.48654693138728533
pid = 22, p = (0.1793567001505221, 0.041780365417846646, 4.487419842427216, 4.491197086193482), Parent_PIDs = (111, 90), theta = 0.04101586644752479, phi = 0.2288642480514072

pid = 14, p = (0.9150432145135592, 0.7192155048514469, 4.757864828780614, 4.898147890355459), Parent_PIDs = (14, 14), theta = 0.23990741511087246, phi = 0.6661401529477994
pid = -211, p = (0.1959747620892877, 0.5931104724729644, 9.017441127226311, 9.040127787140268), Parent_PIDs = (1, -5), theta = 0.06916070159290494, phi = 1.2516712764048237
pid = 211, p = (0.05781561224738525, -0.18887893148805543, 1.0128367575864057, 1.0413145433526574), Parent_PIDs = (5, 2203), theta = 0.19260830521604697, phi = 5.0094315600770845
pid = 14, p = (0.6690552520617361, 0.1406757917814623, 1.131833539140318, 1.3222979123584937), Parent_PIDs = (521, 90), theta = 0.543392466613528, phi = 0.20724153511724097
pid = -13, p = (0.4919005123410187, -0.4146597538463829, 26.420134547908777, 26.4281778106381), Parent_PIDs = (521, 90), theta = 0.024346217572847845, phi = 5.5827838776150855
pid = 2212, p = (-0.24814991774430087, -0.17449363411896104, 4.148456600588149, 4.2640437579705885), Parent_PIDs = (3122, 90), theta = 0.07299571510312253, phi = 3.7544485131223624
pid = -211, p = (-0.0575484900634079, 0.06671650492922104, 0.4639004149933851, 0.49238836366183963), Parent_PIDs = (3122, 90), theta = 0.18769195612587525, phi = 2.282549980846659
pid = 211, p = (-0.062499458719728854, 0.07264862773961307, 7.326854904697139, 7.328810721040435), Parent_PIDs = (310, 90), theta = 0.013078975036620167, phi = 2.281238530310599
pid = -211, p = (-0.43857818356367223, -0.3724665185468914, 19.04706490058577, 19.056265196584636), Parent_PIDs = (310, 90), theta = 0.030200056058678666, phi = 3.8456564366643433
pid = 22, p = (0.21235190595626327, 0.019348613433084312, 3.0708249877642495, 3.078219258968136), Parent_PIDs = (-423, 90), theta = 0.06932659723107305, phi = 0.09086489645135376
pid = 22, p = (-0.037534549127694564, -0.21440022378633392, 7.1355673465581555, 7.138886303591396), Parent_PIDs = (111, 90), theta = 0.030494211450978633, phi = 4.539077648702469
pid = 22, p = (0.0014900244020197972, 0.008690220747541293, 0.03879910987229099, 0.03978832788949203), Parent_PIDs = (111, 90), theta = 0.22345345732318067, phi = 1.4009876163839092
pid = 22, p = (-0.04632163903035851, -0.05772117546189959, 2.9479787423875883, 2.94890761026999), Parent_PIDs = (111, 90), theta = 0.025099946070780935, phi = 4.036121335704959
pid = 22, p = (0.06363406467688959, 0.020762238841855293, 2.5030691233578692, 2.503963937650971), Parent_PIDs = (111, 90), theta = 0.026735010149653356, phi = 0.31538514885575125
pid = -2112, p = (-0.8937099668944233, -0.7592124594898819, 24.038502965239886, 24.085421683215706), Parent_PIDs = (-3122, 90), theta = 0.04874374624328754, phi = 3.8458001676458125
pid = 22, p = (-0.1421697684960697, 0.03583069450379124, 3.372807484822768, 3.3759926557116993), Parent_PIDs = (111, 90), theta = 0.04344249618249053, phi = 2.8947066463950617
pid = 22, p = (-0.3496754584569398, -0.09007111920360392, 6.057414494970605, 6.068167441381428), Parent_PIDs = (111, 90), theta = 0.05954072426069091, phi = 3.3936972110753048
pid = 211, p = (0.012957887048407443, 0.017514604466417883, 0.7244332273282208, 0.7380772005444651), Parent_PIDs = (223, 90), theta = 0.030065319680598536, phi = 0.9338337423898063
pid = -211, p = (0.32212334011904536, -0.17991396373834778, 7.021648921954623, 7.0327210842378785), Parent_PIDs = (223, 90), theta = 0.05249797284589182, phi = 5.773820500128572
pid = 22, p = (-0.42234754606754193, 0.06572509838985352, 8.933508361304176, 8.943727907294544), Parent_PIDs = (111, 90), theta = 0.047809353655298724, phi = 2.987212405220817
pid = 22, p = (-0.14875111077142467, 0.06966374914901366, 5.230282029549668, 5.232860598136685), Parent_PIDs = (111, 90), theta = 0.0313944294161793, phi = 2.703605222343335
pid = 22, p = (-0.07027828195315484, -0.050398328079052215, 5.782260822803327, 5.78290750845227), Parent_PIDs = (111, 90), theta = 0.014955210614758798, phi = 3.763719825771207
pid = 22, p = (0.046268050286877686, 0.014051796235147622, 1.6574596340006673, 1.6581648361355419), Parent_PIDs = (111, 90), theta = 0.029165763475121603, phi = 0.29485157075235846
pid = 2212, p = (0.05301978537475594, 0.03650608208112937, 16.016889930484542, 16.04447747450278), Parent_PIDs = (3122, 90), theta = 0.004019003895498935, phi = 0.6029911509714987
pid = -211, p = (-0.07857362491298957, 0.06598562104074898, 2.166795953312624, 2.1737093653264825), Parent_PIDs = (3122, 90), theta = 0.04731827499095035, phi = 2.443053901247688
pid = 22, p = (0.05109023290949655, -0.03745766751659585, 1.0808758344040488, 1.0827307412986753), Parent_PIDs = (111, 90), theta = 0.058543386782145934, phi = 5.650544712648914
pid = 22, p = (-0.05165026847150523, -0.04861615796100919, 4.113359360893429, 4.113970893540409), Parent_PIDs = (111, 90), theta = 0.017242474559127897, phi = 3.8967395652130037
pid = 211, p = (-0.4308415445334543, 0.10729254984081829, 31.556101304205463, 31.55953335260084), Parent_PIDs = (310, 90), theta = 0.014069255370923942, phi = 2.8975269649459787
pid = -211, p = (-0.04875938483998271, -0.16098519946137346, 10.430782190293007, 10.433071963630335), Parent_PIDs = (310, 90), theta = 0.01612465554883208, phi = 4.418291015357561
pid = 22, p = (-0.23717572576445548, -0.1445346631780333, 7.153291892033171, 7.158681965723813), Parent_PIDs = (111, 90), theta = 0.038808161458712444, phi = 3.6888945757405565
pid = 22, p = (-0.006777542378083066, -0.015044717136557596, 0.07724878400991729, 0.07899147565032963), Parent_PIDs = (111, 90), theta = 0.21044414608811574, phi = 4.28912500586046
pid = 211, p = (0.40307936055345706, 0.5825992044678386, 3.7560722921930765, 3.8248468796843738), Parent_PIDs = (310, 90), theta = 0.1864232618638086, phi = 0.9655517258372118
pid = -211, p = (0.06760770802787683, 0.21562222059638422, 3.110207419064567, 3.1215274656334464), Parent_PIDs = (310, 90), theta = 0.07252780515446196, phi = 1.2669578602086464
pid = 22, p = (0.028574049030592977, 0.015114552026793222, 3.771005393854014, 3.7711439387057393), Parent_PIDs = (111, 90), theta = 0.00857185802028559, phi = 0.48654693138728533
pid = 22, p = (0.1793567001505221, 0.041780365417846646, 4.487419842427216, 4.491197086193482), Parent_PIDs = (111, 90), theta = 0.04101586644752479, phi = 0.2288642480514072

pid = 14, p = (0.9150432145135592, 0.7192155048514469, 4.757864828780614, 4.898147890355459), Parent_PIDs = (14, 14), theta = 0.23990741511087246, phi = 0.6661401529477994
pid = -211, p = (0.1959747620892877, 0.5931104724729644, 9.017441127226311, 9.040127787140268), Parent_PIDs = (1, -5), theta = 0.06916070159290494, phi = 1.2516712764048237
pid = 211, p = (0.05781561224738525, -0.18887893148805543, 1.0128367575864057, 1.0413145433526574), Parent_PIDs = (5, 2203), theta = 0.19260830521604697, phi = 5.0094315600770845
pid = 14, p = (0.6690552520617361, 0.1406757917814623, 1.131833539140318, 1.3222979123584937), Parent_PIDs = (521, 90), theta = 0.543392466613528, phi = 0.20724153511724097
pid = -13, p = (0.4919005123410187, -0.4146597538463829, 26.420134547908777, 26.4281778106381), Parent_PIDs = (521, 90), theta = 0.024346217572847845, phi = 5.5827838776150855
pid = 2212, p = (-0.24814991774430087, -0.17449363411896104, 4.148456600588149, 4.2640437579705885), Parent_PIDs = (3122, 90), theta = 0.07299571510312253, phi = 3.7544485131223624
pid = -211, p = (-0.0575484900634079, 0.06671650492922104, 0.4639004149933851, 0.49238836366183963), Parent_PIDs = (3122, 90), theta = 0.18769195612587525, phi = 2.282549980846659
pid = 211, p = (-0.062499458719728854, 0.07264862773961307, 7.326854904697139, 7.328810721040435), Parent_PIDs = (310, 90), theta = 0.013078975036620167, phi = 2.281238530310599
pid = -211, p = (-0.43857818356367223, -0.3724665185468914, 19.04706490058577, 19.056265196584636), Parent_PIDs = (310, 90), theta = 0.030200056058678666, phi = 3.8456564366643433
pid = 22, p = (0.21235190595626327, 0.019348613433084312, 3.0708249877642495, 3.078219258968136), Parent_PIDs = (-423, 90), theta = 0.06932659723107305, phi = 0.09086489645135376
pid = 22, p = (-0.037534549127694564, -0.21440022378633392, 7.1355673465581555, 7.138886303591396), Parent_PIDs = (111, 90), theta = 0.030494211450978633, phi = 4.539077648702469
pid = 22, p = (0.0014900244020197972, 0.008690220747541293, 0.03879910987229099, 0.03978832788949203), Parent_PIDs = (111, 90), theta = 0.22345345732318067, phi = 1.4009876163839092
pid = 22, p = (-0.04632163903035851, -0.05772117546189959, 2.9479787423875883, 2.94890761026999), Parent_PIDs = (111, 90), theta = 0.025099946070780935, phi = 4.036121335704959
pid = 22, p = (0.06363406467688959, 0.020762238841855293, 2.5030691233578692, 2.503963937650971), Parent_PIDs = (111, 90), theta = 0.026735010149653356, phi = 0.31538514885575125
pid = -2112, p = (-0.8937099668944233, -0.7592124594898819, 24.038502965239886, 24.085421683215706), Parent_PIDs = (-3122, 90), theta = 0.04874374624328754, phi = 3.8458001676458125
pid = 22, p = (-0.1421697684960697, 0.03583069450379124, 3.372807484822768, 3.3759926557116993), Parent_PIDs = (111, 90), theta = 0.04344249618249053, phi = 2.8947066463950617
pid = 22, p = (-0.3496754584569398, -0.09007111920360392, 6.057414494970605, 6.068167441381428), Parent_PIDs = (111, 90), theta = 0.05954072426069091, phi = 3.3936972110753048
pid = 211, p = (0.012957887048407443, 0.017514604466417883, 0.7244332273282208, 0.7380772005444651), Parent_PIDs = (223, 90), theta = 0.030065319680598536, phi = 0.9338337423898063
pid = -211, p = (0.32212334011904536, -0.17991396373834778, 7.021648921954623, 7.0327210842378785), Parent_PIDs = (223, 90), theta = 0.05249797284589182, phi = 5.773820500128572
pid = 22, p = (-0.42234754606754193, 0.06572509838985352, 8.933508361304176, 8.943727907294544), Parent_PIDs = (111, 90), theta = 0.047809353655298724, phi = 2.987212405220817
pid = 22, p = (-0.14875111077142467, 0.06966374914901366, 5.230282029549668, 5.232860598136685), Parent_PIDs = (111, 90), theta = 0.0313944294161793, phi = 2.703605222343335
pid = 22, p = (-0.07027828195315484, -0.050398328079052215, 5.782260822803327, 5.78290750845227), Parent_PIDs = (111, 90), theta = 0.014955210614758798, phi = 3.763719825771207
pid = 22, p = (0.046268050286877686, 0.014051796235147622, 1.6574596340006673, 1.6581648361355419), Parent_PIDs = (111, 90), theta = 0.029165763475121603, phi = 0.29485157075235846
pid = 2212, p = (0.05301978537475594, 0.03650608208112937, 16.016889930484542, 16.04447747450278), Parent_PIDs = (3122, 90), theta = 0.004019003895498935, phi = 0.6029911509714987
pid = -211, p = (-0.07857362491298957, 0.06598562104074898, 2.166795953312624, 2.1737093653264825), Parent_PIDs = (3122, 90), theta = 0.04731827499095035, phi = 2.443053901247688
pid = 22, p = (0.05109023290949655, -0.03745766751659585, 1.0808758344040488, 1.0827307412986753), Parent_PIDs = (111, 90), theta = 0.058543386782145934, phi = 5.650544712648914
pid = 22, p = (-0.05165026847150523, -0.04861615796100919, 4.113359360893429, 4.113970893540409), Parent_PIDs = (111, 90), theta = 0.017242474559127897, phi = 3.8967395652130037
pid = 211, p = (-0.4308415445334543, 0.10729254984081829, 31.556101304205463, 31.55953335260084), Parent_PIDs = (310, 90), theta = 0.014069255370923942, phi = 2.8975269649459787
pid = -211, p = (-0.04875938483998271, -0.16098519946137346, 10.430782190293007, 10.433071963630335), Parent_PIDs = (310, 90), theta = 0.01612465554883208, phi = 4.418291015357561
pid = 22, p = (-0.23717572576445548, -0.1445346631780333, 7.153291892033171, 7.158681965723813), Parent_PIDs = (111, 90), theta = 0.038808161458712444, phi = 3.6888945757405565
pid = 22, p = (-0.006777542378083066, -0.015044717136557596, 0.07724878400991729, 0.07899147565032963), Parent_PIDs = (111, 90), theta = 0.21044414608811574, phi = 4.28912500586046
pid = 211, p = (0.40307936055345706, 0.5825992044678386, 3.7560722921930765, 3.8248468796843738), Parent_PIDs = (310, 90), theta = 0.1864232618638086, phi = 0.9655517258372118
pid = -211, p = (0.06760770802787683, 0.21562222059638422, 3.110207419064567, 3.1215274656334464), Parent_PIDs = (310, 90), theta = 0.07252780515446196, phi = 1.2669578602086464
pid = 22, p = (0.028574049030592977, 0.015114552026793222, 3.771005393854014, 3.7711439387057393), Parent_PIDs = (111, 90), theta = 0.00857185802028559, phi = 0.48654693138728533
pid = 22, p = (0.1793567001505221, 0.041780365417846646, 4.487419842427216, 4.491197086193482), Parent_PIDs = (111, 90), theta = 0.04101586644752479, phi = 0.2288642480514072

pid = 14, p = (0.9150432145135592, 0.7192155048514469, 4.757864828780614, 4.898147890355459), Parent_PIDs = (14, 14), theta = 0.23990741511087246, phi = 0.6661401529477994
pid = -211, p = (0.1959747620892877, 0.5931104724729644, 9.017441127226311, 9.040127787140268), Parent_PIDs = (1, -5), theta = 0.06916070159290494, phi = 1.2516712764048237
pid = 211, p = (0.05781561224738525, -0.18887893148805543, 1.0128367575864057, 1.0413145433526574), Parent_PIDs = (5, 2203), theta = 0.19260830521604697, phi = 5.0094315600770845
pid = 14, p = (0.6690552520617361, 0.1406757917814623, 1.131833539140318, 1.3222979123584937), Parent_PIDs = (521, 90), theta = 0.543392466613528, phi = 0.20724153511724097
pid = -13, p = (0.4919005123410187, -0.4146597538463829, 26.420134547908777, 26.4281778106381), Parent_PIDs = (521, 90), theta = 0.024346217572847845, phi = 5.5827838776150855
pid = 2212, p = (-0.24814991774430087, -0.17449363411896104, 4.148456600588149, 4.2640437579705885), Parent_PIDs = (3122, 90), theta = 0.07299571510312253, phi = 3.7544485131223624
pid = -211, p = (-0.0575484900634079, 0.06671650492922104, 0.4639004149933851, 0.49238836366183963), Parent_PIDs = (3122, 90), theta = 0.18769195612587525, phi = 2.282549980846659
pid = 211, p = (-0.062499458719728854, 0.07264862773961307, 7.326854904697139, 7.328810721040435), Parent_PIDs = (310, 90), theta = 0.013078975036620167, phi = 2.281238530310599
pid = -211, p = (-0.43857818356367223, -0.3724665185468914, 19.04706490058577, 19.056265196584636), Parent_PIDs = (310, 90), theta = 0.030200056058678666, phi = 3.8456564366643433
pid = 22, p = (0.21235190595626327, 0.019348613433084312, 3.0708249877642495, 3.078219258968136), Parent_PIDs = (-423, 90), theta = 0.06932659723107305, phi = 0.09086489645135376
pid = 22, p = (-0.037534549127694564, -0.21440022378633392, 7.1355673465581555, 7.138886303591396), Parent_PIDs = (111, 90), theta = 0.030494211450978633, phi = 4.539077648702469
pid = 22, p = (0.0014900244020197972, 0.008690220747541293, 0.03879910987229099, 0.03978832788949203), Parent_PIDs = (111, 90), theta = 0.22345345732318067, phi = 1.4009876163839092
pid = 22, p = (-0.04632163903035851, -0.05772117546189959, 2.9479787423875883, 2.94890761026999), Parent_PIDs = (111, 90), theta = 0.025099946070780935, phi = 4.036121335704959
pid = 22, p = (0.06363406467688959, 0.020762238841855293, 2.5030691233578692, 2.503963937650971), Parent_PIDs = (111, 90), theta = 0.026735010149653356, phi = 0.31538514885575125
pid = -2112, p = (-0.8937099668944233, -0.7592124594898819, 24.038502965239886, 24.085421683215706), Parent_PIDs = (-3122, 90), theta = 0.04874374624328754, phi = 3.8458001676458125
pid = 22, p = (-0.1421697684960697, 0.03583069450379124, 3.372807484822768, 3.3759926557116993), Parent_PIDs = (111, 90), theta = 0.04344249618249053, phi = 2.8947066463950617
pid = 22, p = (-0.3496754584569398, -0.09007111920360392, 6.057414494970605, 6.068167441381428), Parent_PIDs = (111, 90), theta = 0.05954072426069091, phi = 3.3936972110753048
