Events for energy 22.535744 GeV:
Cross section pb: 0.036109860696682664
Total number of events: 986048

pid = -13, p = (-0.799329449668345, 0.4490046067318194, 2.8015568193071743, 2.9496469879258482), Parent_PIDs = (4122, 90), theta = 0.3162643865693553, phi = 2.6297909029888964
pid = 14, p = (0.02117577534158721, -0.10355565125030913, 1.452479471040511, 1.4563202944961373), Parent_PIDs = (4122, 90), theta = 0.07264307414487114, phi = 4.914095132478028
pid = -211, p = (0.39340664922956997, -0.18856511002255513, 1.5840555033400314, 1.6489503373169538), Parent_PIDs = (-411, 90), theta = 0.2687464576802477, phi = 5.836223446484512
pid = 2212, p = (0.254910921228546, 0.48624358558299613, 2.5452944211976782, 2.7677222920232114), Parent_PIDs = (3122, 90), theta = 0.21244152352153053, phi = 1.0879411295127936
pid = -211, p = (0.09916588181733427, -0.020909079347992562, 0.41522715485217715, 0.4496269973460491), Parent_PIDs = (3122, 90), theta = 0.2393937355448467, phi = 6.075379606196911
pid = 22, p = (0.017812769756585536, -0.1212426767268224, 0.0342774949927574, 0.12724790013695472), Parent_PIDs = (111, 90), theta = 1.2980515940784119, phi = 4.858263701025916
pid = 22, p = (-0.015990470826976237, 0.03427798486022225, 0.00590085190129102, 0.038281790142402884), Parent_PIDs = (111, 90), theta = 1.4160367764479385, phi = 2.007281606428068
pid = 211, p = (-0.42635055525637167, -0.3219576684842955, 4.867067323896016, 4.89829109552501), Parent_PIDs = (310, 90), theta = 0.10933226073936482, phi = 3.7883801989414105
pid = -211, p = (-0.11957330705284257, -0.33402154502018006, 1.6672572523371234, 1.7102908228333435), Parent_PIDs = (310, 90), theta = 0.20966478123811907, phi = 4.3686220653763606

pid = 14, p = (0.661917223877094, 0.14016840241701023, 2.50396985348984, 2.5937707337941847), Parent_PIDs = (14, -4), theta = 0.26390677215175484, phi = 0.20867843119568108
pid = 211, p = (-0.08714543844618108, -0.0194428487398932, 0.839448360283786, 0.8556434340846871), Parent_PIDs = (2, -4), theta = 0.10596670104978996, phi = 3.361105581633937
