Energy,Cross_section_pb,Total_events,pid,momentum,parent_pids,theta,phi
56.607229,0.1047325653424288,996272.0,,,,,
,,,11,"(-0.5627601506342836, -0.0749554131425009, 3.5642516344468156, 3.6091837409418606)","(-411, 90)",0.15795752073154923,3.274005778158616
,,,-12,"(0.4154702688826094, -0.114747573721309, 0.8072892338573978, 0.9151494179107472)","(-411, 90)",0.49041119739698535,6.013715693469149
,,,22,"(-0.026043357624362017, -0.05289395679755205, 0.05668865443793925, 0.08179016251381219)","(111, 90)",0.8050174043553197,4.254864588223779
,,,22,"(-0.06138381322971056, -0.025361719546961398, 0.46465944745480514, 0.46938213797928385)","(111, 90)",0.1419748026577079,3.533397462139222
,,,130,"(-0.6980201083308601, -0.4444352796156415, 2.796373402145393, 2.9583905600389304)","(-311, -311)",0.2877082682366509,3.7085672369125695
,,,,,,,
,,,14,"(1.0228824101817546, -1.6072061381443719, 11.420437435654277, 11.578246465559534)","(14, 14)",0.16529284071784556,5.279169066396546
,,,211,"(-0.02113073609175265, 0.01706826355731557, 0.8900451720949294, 0.9013312525914843)","(2, -4)",0.030509310647705883,2.462146469347981
,,,211,"(-0.10033649456772968, 0.022740809984128307, 0.49964968294937995, 0.528880087687455)","(113, 90)",0.20306868326167696,2.9187126010206335
,,,-211,"(0.39749516381014915, -0.025368713394440693, 6.125832377562983, 6.140354067948418)","(113, 90)",0.06492897189987898,6.219450308899057
,,,2212,"(-0.3607977952357237, 0.26613508954167386, 4.068029458106821, 4.1988352194218335)","(2214, 90)",0.10976603556990154,2.5060558017319834
,,,-13,"(0.3226259144084911, 0.17341957016095577, 2.366848706600677, 2.3973524278879035)","(421, 90)",0.15353679427453698,0.49321523459429506
,,,14,"(-0.38409425339150255, -0.046406034656753636, 2.7439913447231663, 2.7711316127994694)","(421, 90)",0.1400711132351313,3.2618292626559664
,,,-321,"(0.21936216622973737, 1.706163217198172, 19.11422864859437, 19.197827206661664)","(421, 90)",0.08975436417506329,1.4429273745710467
,,,22,"(-0.1193531580038153, 0.043768798500436204, 0.1815025915972752, 0.22159439253776883)","(111, 90)",0.6109982537086114,2.7901037397689623
,,,22,"(-0.043916056403011085, 0.1620790800768501, 0.26893083391371475, 0.3170521118650316)","(111, 90)",0.5581755706253121,1.8353975939915015
,,,11,"(-0.5627601506342836, -0.0749554131425009, 3.5642516344468156, 3.6091837409418606)","(-411, 90)",0.15795752073154923,3.274005778158616
,,,-12,"(0.4154702688826094, -0.114747573721309, 0.8072892338573978, 0.9151494179107472)","(-411, 90)",0.49041119739698535,6.013715693469149
,,,22,"(-0.026043357624362017, -0.05289395679755205, 0.05668865443793925, 0.08179016251381219)","(111, 90)",0.8050174043553197,4.254864588223779
,,,22,"(-0.06138381322971056, -0.025361719546961398, 0.46465944745480514, 0.46938213797928385)","(111, 90)",0.1419748026577079,3.533397462139222
,,,130,"(-0.6980201083308601, -0.4444352796156415, 2.796373402145393, 2.9583905600389304)","(-311, -311)",0.2877082682366509,3.7085672369125695
,,,,,,,
,,,14,"(1.0228824101817546, -1.6072061381443719, 11.420437435654277, 11.578246465559534)","(14, 14)",0.16529284071784556,5.279169066396546
,,,211,"(-0.02113073609175265, 0.01706826355731557, 0.8900451720949294, 0.9013312525914843)","(2, -4)",0.030509310647705883,2.462146469347981
,,,211,"(-0.10033649456772968, 0.022740809984128307, 0.49964968294937995, 0.528880087687455)","(113, 90)",0.20306868326167696,2.9187126010206335
,,,-211,"(0.39749516381014915, -0.025368713394440693, 6.125832377562983, 6.140354067948418)","(113, 90)",0.06492897189987898,6.219450308899057
,,,2212,"(-0.3607977952357237, 0.26613508954167386, 4.068029458106821, 4.1988352194218335)","(2214, 90)",0.10976603556990154,2.5060558017319834
,,,-13,"(0.3226259144084911, 0.17341957016095577, 2.366848706600677, 2.3973524278879035)","(421, 90)",0.15353679427453698,0.49321523459429506
,,,14,"(-0.38409425339150255, -0.046406034656753636, 2.7439913447231663, 2.7711316127994694)","(421, 90)",0.1400711132351313,3.2618292626559664
,,,-321,"(0.21936216622973737, 1.706163217198172, 19.11422864859437, 19.197827206661664)","(421, 90)",0.08975436417506329,1.4429273745710467
,,,22,"(-0.1193531580038153, 0.043768798500436204, 0.1815025915972752, 0.22159439253776883)","(111, 90)",0.6109982537086114,2.7901037397689623
,,,22,"(-0.043916056403011085, 0.1620790800768501, 0.26893083391371475, 0.3170521118650316)","(111, 90)",0.5581755706253121,1.8353975939915015
,,,11,"(-0.5627601506342836, -0.0749554131425009, 3.5642516344468156, 3.6091837409418606)","(-411, 90)",0.15795752073154923,3.274005778158616
,,,-12,"(0.4154702688826094, -0.114747573721309, 0.8072892338573978, 0.9151494179107472)","(-411, 90)",0.49041119739698535,6.013715693469149
,,,22,"(-0.026043357624362017, -0.05289395679755205, 0.05668865443793925, 0.08179016251381219)","(111, 90)",0.8050174043553197,4.254864588223779
,,,22,"(-0.06138381322971056, -0.025361719546961398, 0.46465944745480514, 0.46938213797928385)","(111, 90)",0.1419748026577079,3.533397462139222
,,,130,"(-0.6980201083308601, -0.4444352796156415, 2.796373402145393, 2.9583905600389304)","(-311, -311)",0.2877082682366509,3.7085672369125695
,,,,,,,
,,,14,"(1.0228824101817546, -1.6072061381443719, 11.420437435654277, 11.578246465559534)","(14, 14)",0.16529284071784556,5.279169066396546
,,,211,"(-0.02113073609175265, 0.01706826355731557, 0.8900451720949294, 0.9013312525914843)","(2, -4)",0.030509310647705883,2.462146469347981
,,,211,"(-0.10033649456772968, 0.022740809984128307, 0.49964968294937995, 0.528880087687455)","(113, 90)",0.20306868326167696,2.9187126010206335
,,,-211,"(0.39749516381014915, -0.025368713394440693, 6.125832377562983, 6.140354067948418)","(113, 90)",0.06492897189987898,6.219450308899057
,,,2212,"(-0.3607977952357237, 0.26613508954167386, 4.068029458106821, 4.1988352194218335)","(2214, 90)",0.10976603556990154,2.5060558017319834
,,,-13,"(0.3226259144084911, 0.17341957016095577, 2.366848706600677, 2.3973524278879035)","(421, 90)",0.15353679427453698,0.49321523459429506
,,,14,"(-0.38409425339150255, -0.046406034656753636, 2.7439913447231663, 2.7711316127994694)","(421, 90)",0.1400711132351313,3.2618292626559664
,,,-321,"(0.21936216622973737, 1.706163217198172, 19.11422864859437, 19.197827206661664)","(421, 90)",0.08975436417506329,1.4429273745710467
,,,22,"(-0.1193531580038153, 0.043768798500436204, 0.1815025915972752, 0.22159439253776883)","(111, 90)",0.6109982537086114,2.7901037397689623
,,,22,"(-0.043916056403011085, 0.1620790800768501, 0.26893083391371475, 0.3170521118650316)","(111, 90)",0.5581755706253121,1.8353975939915015
,,,11,"(-0.5627601506342836, -0.0749554131425009, 3.5642516344468156, 3.6091837409418606)","(-411, 90)",0.15795752073154923,3.274005778158616
,,,-12,"(0.4154702688826094, -0.114747573721309, 0.8072892338573978, 0.9151494179107472)","(-411, 90)",0.49041119739698535,6.013715693469149
,,,22,"(-0.026043357624362017, -0.05289395679755205, 0.05668865443793925, 0.08179016251381219)","(111, 90)",0.8050174043553197,4.254864588223779
,,,22,"(-0.06138381322971056, -0.025361719546961398, 0.46465944745480514, 0.46938213797928385)","(111, 90)",0.1419748026577079,3.533397462139222
,,,130,"(-0.6980201083308601, -0.4444352796156415, 2.796373402145393, 2.9583905600389304)","(-311, -311)",0.2877082682366509,3.7085672369125695
,,,,,,,
,,,14,"(1.0228824101817546, -1.6072061381443719, 11.420437435654277, 11.578246465559534)","(14, 14)",0.16529284071784556,5.279169066396546
,,,211,"(-0.02113073609175265, 0.01706826355731557, 0.8900451720949294, 0.9013312525914843)","(2, -4)",0.030509310647705883,2.462146469347981
,,,211,"(-0.10033649456772968, 0.022740809984128307, 0.49964968294937995, 0.528880087687455)","(113, 90)",0.20306868326167696,2.9187126010206335
,,,-211,"(0.39749516381014915, -0.025368713394440693, 6.125832377562983, 6.140354067948418)","(113, 90)",0.06492897189987898,6.219450308899057
,,,2212,"(-0.3607977952357237, 0.26613508954167386, 4.068029458106821, 4.1988352194218335)","(2214, 90)",0.10976603556990154,2.5060558017319834
,,,-13,"(0.3226259144084911, 0.17341957016095577, 2.366848706600677, 2.3973524278879035)","(421, 90)",0.15353679427453698,0.49321523459429506
,,,14,"(-0.38409425339150255, -0.046406034656753636, 2.7439913447231663, 2.7711316127994694)","(421, 90)",0.1400711132351313,3.2618292626559664
,,,-321,"(0.21936216622973737, 1.706163217198172, 19.11422864859437, 19.197827206661664)","(421, 90)",0.08975436417506329,1.4429273745710467
,,,22,"(-0.1193531580038153, 0.043768798500436204, 0.1815025915972752, 0.22159439253776883)","(111, 90)",0.6109982537086114,2.7901037397689623
,,,22,"(-0.043916056403011085, 0.1620790800768501, 0.26893083391371475, 0.3170521118650316)","(111, 90)",0.5581755706253121,1.8353975939915015
,,,11,"(-0.5627601506342836, -0.0749554131425009, 3.5642516344468156, 3.6091837409418606)","(-411, 90)",0.15795752073154923,3.274005778158616
,,,-12,"(0.4154702688826094, -0.114747573721309, 0.8072892338573978, 0.9151494179107472)","(-411, 90)",0.49041119739698535,6.013715693469149
,,,22,"(-0.026043357624362017, -0.05289395679755205, 0.05668865443793925, 0.08179016251381219)","(111, 90)",0.8050174043553197,4.254864588223779
,,,22,"(-0.06138381322971056, -0.025361719546961398, 0.46465944745480514, 0.46938213797928385)","(111, 90)",0.1419748026577079,3.533397462139222
,,,130,"(-0.6980201083308601, -0.4444352796156415, 2.796373402145393, 2.9583905600389304)","(-311, -311)",0.2877082682366509,3.7085672369125695
,,,,,,,
,,,14,"(1.9598009075823946, -0.9400377512015269, 9.859054151648346, 10.095812960637655)","(14, 14)",0.21699504783007403,5.835941847642262
,,,2212,"(-1.101877539062612, 0.20689695513485198, 10.603113131697636, 10.703424645299915)","(2224, 90)",0.10534483623572043,2.9559861569781924
,,,211,"(-0.27342189768124775, 0.20416124402414382, 1.4916938698616509, 1.536577929678781)","(2224, 90)",0.22488727580802714,2.500213671375231
