Energy,Cross_section_pb,Total_events,pid,momentum,parent_pids,theta,phi
112.946271,0.21884533680007798,998488.0,,,,,
,,,14,"(-3.0840250233265856, -0.10105435193092324, 60.447117193243, 60.525824234785944)","(14, 14)",0.05100332737160724,3.174347967771587
,,,2112,"(0.204845821171062, -0.1038545930726967, 2.1997879414342276, 2.4030410648037166)","(4, 2101)",0.10402791552724289,5.813962084718445
,,,211,"(-0.005655123798369119, 0.00363367342132148, 1.499449419452625, 1.5059460582652096)","(2, -4)",0.004482885484292405,2.5704758337059626
,,,-211,"(0.17179472197615145, -0.2574474964061725, 0.46492267834909645, 0.5756956849308209)","(2, -4)",0.5873402786416282,5.300829937805139
,,,211,"(-0.031217444465485848, 0.05859179744220224, 0.6730385044158728, 0.6905563995017485)","(413, 90)",0.09832295947816677,2.0603348105805077
,,,211,"(0.08699102401012514, -0.3420495416826067, 1.8520177475231754, 1.890506506009548)","(223, 90)",0.18831156674251323,4.9614320784501444
,,,-211,"(0.21899339679769753, -0.262319319405664, 0.7345399102768106, 0.8220694604861016)","(223, 90)",0.43543061746411815,5.4080129391789376
,,,-13,"(0.06571264997369307, 0.19242102683680204, 0.774705284724176, 0.8078838516241434)","(421, 90)",0.2566746535804795,1.2417098213743605
,,,14,"(-0.21929730834428232, 0.0769438671976152, 0.2118956872488355, 0.31450190845371334)","(421, 90)",0.8315243861381284,2.80414696533284
,,,22,"(-0.017613945626672296, 0.031147112224156538, 0.021321157816401107, 0.04165315655596172)","(111, 90)",1.0334317785813765,2.0854679680062804
,,,22,"(0.012729670465066352, 0.0611461867470493, 0.5230839886157987, 0.526799544238667)","(111, 90)",0.11883921546535435,1.3655438638993325
,,,22,"(0.05244270015041118, 0.08359876478745032, 1.5220269474614143, 1.5252229407767783)","(111, 90)",0.06474811504960618,1.010534530437913
,,,22,"(0.06056028430835339, -0.04860376180920295, 0.8182099776244806, 0.8218865135660562)","(111, 90)",0.09462164748770722,5.606880315437753
,,,-211,"(-0.07315419623631866, -0.2801815861608091, 2.2427645287358198, 2.2656843941524984)","(-323, 90)",0.12840449423532677,4.456994912453137
,,,321,"(0.753179272227714, -0.18068204404986063, 6.293298944697591, 6.359973000484145)","(313, 90)",0.12245924112666143,6.047741992393009
,,,-211,"(0.2106810576386184, 0.1322932558154029, 4.478708001492436, 4.487782655289171)","(313, 90)",0.05548869005891237,0.5607045264731036
,,,211,"(0.793836554775466, 0.029926334386598835, 11.840498335657426, 11.867938013100414)","(223, 90)",0.06699141201581067,0.037680514355537584
,,,-211,"(-0.008244998739152368, 0.086769135964893, 1.8352346138034603, 1.8425967370975764)","(223, 90)",0.04745689826978865,1.665534126116554
,,,22,"(0.22652968478990504, 0.049729471062148166, 5.087881522991257, 5.093164744083874)","(111, 90)",0.04555206582140638,0.216099471150989
,,,22,"(0.240014251473882, 0.14733199151088275, 4.1089121003714455, 4.118552197703947)","(111, 90)",0.06843340782399795,0.5505388398443909
,,,211,"(0.0911058234327245, 0.4272858888445346, 1.8161267435151482, 1.873144317792934)","(310, 90)",0.23607611687347174,1.3607223077486792
,,,-211,"(0.2497911273459962, 0.19537418827687955, 3.0481724321542405, 3.067800782611337)","(310, 90)",0.10366399444205568,0.6637617770222259
,,,,,,,
,,,14,"(-3.0840250233265856, -0.10105435193092324, 60.447117193243, 60.525824234785944)","(14, 14)",0.05100332737160724,3.174347967771587
,,,2112,"(0.204845821171062, -0.1038545930726967, 2.1997879414342276, 2.4030410648037166)","(4, 2101)",0.10402791552724289,5.813962084718445
,,,211,"(-0.005655123798369119, 0.00363367342132148, 1.499449419452625, 1.5059460582652096)","(2, -4)",0.004482885484292405,2.5704758337059626
,,,-211,"(0.17179472197615145, -0.2574474964061725, 0.46492267834909645, 0.5756956849308209)","(2, -4)",0.5873402786416282,5.300829937805139
,,,211,"(-0.031217444465485848, 0.05859179744220224, 0.6730385044158728, 0.6905563995017485)","(413, 90)",0.09832295947816677,2.0603348105805077
,,,211,"(0.08699102401012514, -0.3420495416826067, 1.8520177475231754, 1.890506506009548)","(223, 90)",0.18831156674251323,4.9614320784501444
,,,-211,"(0.21899339679769753, -0.262319319405664, 0.7345399102768106, 0.8220694604861016)","(223, 90)",0.43543061746411815,5.4080129391789376
,,,-13,"(0.06571264997369307, 0.19242102683680204, 0.774705284724176, 0.8078838516241434)","(421, 90)",0.2566746535804795,1.2417098213743605
,,,14,"(-0.21929730834428232, 0.0769438671976152, 0.2118956872488355, 0.31450190845371334)","(421, 90)",0.8315243861381284,2.80414696533284
,,,22,"(-0.017613945626672296, 0.031147112224156538, 0.021321157816401107, 0.04165315655596172)","(111, 90)",1.0334317785813765,2.0854679680062804
,,,22,"(0.012729670465066352, 0.0611461867470493, 0.5230839886157987, 0.526799544238667)","(111, 90)",0.11883921546535435,1.3655438638993325
,,,22,"(0.05244270015041118, 0.08359876478745032, 1.5220269474614143, 1.5252229407767783)","(111, 90)",0.06474811504960618,1.010534530437913
,,,22,"(0.06056028430835339, -0.04860376180920295, 0.8182099776244806, 0.8218865135660562)","(111, 90)",0.09462164748770722,5.606880315437753
,,,-211,"(-0.07315419623631866, -0.2801815861608091, 2.2427645287358198, 2.2656843941524984)","(-323, 90)",0.12840449423532677,4.456994912453137
,,,321,"(0.753179272227714, -0.18068204404986063, 6.293298944697591, 6.359973000484145)","(313, 90)",0.12245924112666143,6.047741992393009
,,,-211,"(0.2106810576386184, 0.1322932558154029, 4.478708001492436, 4.487782655289171)","(313, 90)",0.05548869005891237,0.5607045264731036
,,,211,"(0.793836554775466, 0.029926334386598835, 11.840498335657426, 11.867938013100414)","(223, 90)",0.06699141201581067,0.037680514355537584
,,,-211,"(-0.008244998739152368, 0.086769135964893, 1.8352346138034603, 1.8425967370975764)","(223, 90)",0.04745689826978865,1.665534126116554
,,,22,"(0.22652968478990504, 0.049729471062148166, 5.087881522991257, 5.093164744083874)","(111, 90)",0.04555206582140638,0.216099471150989
,,,22,"(0.240014251473882, 0.14733199151088275, 4.1089121003714455, 4.118552197703947)","(111, 90)",0.06843340782399795,0.5505388398443909
,,,211,"(0.0911058234327245, 0.4272858888445346, 1.8161267435151482, 1.873144317792934)","(310, 90)",0.23607611687347174,1.3607223077486792
,,,-211,"(0.2497911273459962, 0.19537418827687955, 3.0481724321542405, 3.067800782611337)","(310, 90)",0.10366399444205568,0.6637617770222259
,,,,,,,
