Energy,Cross_section_pb,Total_events,pid,momentum,parent_pids,theta,phi
897.164117,2.80972877669809,999816.0,,,,,
,,,-11,"(0.19037493184312448, -2.1158826702267888, 830.2117429024795, 830.2144610012058)","(-11, -11)",0.0025588956167226346,4.802121599929625
,,,-321,"(0.255663241433267, 0.8020063089734347, 16.119433545431797, 16.148945339576986)","(3, 2103)",0.05217346589700069,1.262200823414738
,,,211,"(-0.20233435675506398, -0.019526656652649098, 0.7468873658242915, 0.7865373509067864)","(3, 2103)",0.26572588769884936,3.2378015845846497
,,,-211,"(0.4252966421762093, -0.13033398929459977, 0.28711142634999776, 0.5475188934206142)","(3, 2103)",0.997621864091044,5.985817695824122
,,,-211,"(0.009694750379957366, 0.06220208514604472, 0.10947665064584917, 0.18822329695890144)","(3, 2103)",0.5218616314058492,1.416181358415948
,,,2212,"(0.14677634724734123, -0.12604303912359932, 3.993707305624821, 4.1070036254821884)","(2224, 90)",0.048405546935711315,5.573637805768353
,,,211,"(-0.14131970848027176, 0.22941292476156044, 1.1064913217963974, 1.1473466695656287)","(2224, 90)",0.2388654675913481,2.122901794492756
,,,22,"(-0.10389845664904943, 0.03866810284999191, 0.6683689653306394, 0.6775006902499963)","(221, 90)",0.1643711341812776,2.785303573553338
,,,13,"(0.1364761926080727, 0.4045532289196989, 9.00092401459003, 9.011663898426391)","(221, 90)",0.047398850343076636,1.245434781987063
,,,-13,"(-0.01827406194207566, 0.16995413848757257, 3.5550683550658437, 3.560743376785174)","(221, 90)",0.048044707318775436,1.6779082962149356
,,,11,"(-0.4780191440900583, -0.35376174006251515, 3.031643980127404, 3.08941987340866)","(-421, 90)",0.1936996606720765,3.7787002541959938
,,,-12,"(-0.4849092009137259, 0.13845869131314728, 1.0748980998998205, 1.1873136348493525)","(-421, 90)",0.43866513826310194,2.8634584851857277
,,,211,"(0.28128601253605046, 0.8241678427519326, 2.9156351075309526, 3.0461093741101672)","(-421, 90)",0.2902469457430576,1.241895676496923
,,,22,"(0.008923244482484183, 0.05284607775760304, 0.5200047130085781, 0.5227592503032256)","(111, 90)",0.10270210550300769,1.4035206901584518
,,,22,"(-0.02573643387626062, 0.02327869439917768, 0.02170566336752522, 0.04093161936476209)","(111, 90)",1.011852736118556,2.406294997133648
,,,,,,,
,,,-11,"(0.19037493184312448, -2.1158826702267888, 830.2117429024795, 830.2144610012058)","(-11, -11)",0.0025588956167226346,4.802121599929625
,,,-321,"(0.255663241433267, 0.8020063089734347, 16.119433545431797, 16.148945339576986)","(3, 2103)",0.05217346589700069,1.262200823414738
,,,211,"(-0.20233435675506398, -0.019526656652649098, 0.7468873658242915, 0.7865373509067864)","(3, 2103)",0.26572588769884936,3.2378015845846497
,,,-211,"(0.4252966421762093, -0.13033398929459977, 0.28711142634999776, 0.5475188934206142)","(3, 2103)",0.997621864091044,5.985817695824122
,,,-211,"(0.009694750379957366, 0.06220208514604472, 0.10947665064584917, 0.18822329695890144)","(3, 2103)",0.5218616314058492,1.416181358415948
,,,2212,"(0.14677634724734123, -0.12604303912359932, 3.993707305624821, 4.1070036254821884)","(2224, 90)",0.048405546935711315,5.573637805768353
